ID_TEST1,REF_ID,ORDER_ID,CREATE_DATE,TRADE_DATE,TRADE_ID,status,TRANS_SUB_TYPE,TRANS_TYPE,EXEC_BROKER,TARGET_NOTNL_AMT_N,TARGET_NOTNL_AMT,ORDER_TARGET_QTY,ALLOCATION_TARGET_QTY,PRIN_LOCAL_CRRNCY,acct_cd,SWAP_PARTY_IND,DEAL_SPREAD,FX_RATE,MKT_PRICE,LAST_RESET_PRICE,SEC_TYP_CD,SEC_NAME,SEC_TYP_CD,UnderlyingSecurityName,FIXED_RATE,FLOAT_RATE,INDEX_NAME,FIRST_PAYMENT_DATE,OTC_CLEAR_ELIG_IND,LOC_CRRNCY_CD,mature_date,PUT/CALL,ISSUE_DATE,LIST_EXCH_CD,LIST_EXCH_CD,STRIKE_PRICE,OPTN_EXPIRE_TYPE,EXPIRE_DATE,SENT_ACCT_DATE,sec_id,ID_TEST2
BNYMDAY4FUTOTHFUT,BNYMDAY4FUTOTHFUT41,1889001195,5/16/2019 6:16,5/16/2019 0:00,77072442,CNCLACCT,(null),SELLS,GSCO,0,(null),19,9,USD,9539,(null),(null),(null),91.775,(null),CFUT,JYU9 JPN YEN CURR FUT SEP 19,CURR,JAPANESE YEN,(null),(null),(null),(null),N,USD,9/16/2019 0:00,(null),(null),XCME,CASH,91.39,(null),9/16/2019 0:00,5/21/2019 14:45,1824350186,BNYMDAY4FUTOTHFUT1889001195
BNYMDAY4FUTOTHFUT,BNYMDAY4FUTOTHFUT41,1889001195,5/16/2019 6:16,5/16/2019 0:00,77072443,CNCLACCT,(null),SELLS,GSCO,0,(null),19,10,USD,9577,(null),(null),(null),91.775,(null),CFUT,JYU9 JPN YEN CURR FUT SEP 19,CURR,JAPANESE YEN,(null),(null),(null),(null),N,USD,9/16/2019 0:00,(null),(null),XCME,CASH,91.39,(null),9/16/2019 0:00,5/21/2019 14:45,1824350186,BNYMDAY4FUTOTHFUT1889001195
BNYMDAY4FUTOTHFUT,BNYMDAY4FUTOTHFUT42,1889001198,5/16/2019 6:16,5/16/2019 0:00,77072445,ACCT,(null),BUYL,JPM,0,(null),14,4,USD,70GB,(null),(null),(null),91.775,(null),CFUT,JYU9 JPN YEN CURR FUT SEP 19,CURR,JAPANESE YEN,(null),(null),(null),(null),N,USD,9/16/2019 0:00,(null),(null),XCME,CASH,91.39,(null),9/16/2019 0:00,5/21/2019 10:38,1824350186,BNYMDAY4FUTOTHFUT1889001198
BNYMDAY4FUTOTHFUT,BNYMDAY4FUTOTHFUT42,1889001198,5/16/2019 6:16,5/16/2019 0:00,77072446,ACCT,(null),BUYL,JPM,0,(null),14,3,USD,7AJF,(null),(null),(null),91.775,(null),CFUT,JYU9 JPN YEN CURR FUT SEP 19,CURR,JAPANESE YEN,(null),(null),(null),(null),N,USD,9/16/2019 0:00,(null),(null),XCME,CASH,91.39,(null),9/16/2019 0:00,5/21/2019 10:38,1824350186,BNYMDAY4FUTOTHFUT1889001198
BNYMDAY4FUTOTHFUT,BNYMDAY4FUTOTHFUT42,1889001198,5/16/2019 6:16,5/16/2019 0:00,77072447,ACCT,(null),BUYL,JPM,0,(null),14,4,USD,9752,(null),(null),(null),91.775,(null),CFUT,JYU9 JPN YEN CURR FUT SEP 19,CURR,JAPANESE YEN,(null),(null),(null),(null),N,USD,9/16/2019 0:00,(null),(null),XCME,CASH,91.39,(null),9/16/2019 0:00,5/21/2019 10:38,1824350186,BNYMDAY4FUTOTHFUT1889001198
BNYMDAY4FUTOTHFUT,BNYMDAY4FUTOTHFUT42,1889001198,5/16/2019 6:16,5/16/2019 0:00,77072444,ACCT,(null),BUYL,JPM,0,(null),14,3,USD,9810,(null),(null),(null),91.775,(null),CFUT,JYU9 JPN YEN CURR FUT SEP 19,CURR,JAPANESE YEN,(null),(null),(null),(null),N,USD,9/16/2019 0:00,(null),(null),XCME,CASH,91.39,(null),9/16/2019 0:00,5/21/2019 10:38,1824350186,BNYMDAY4FUTOTHFUT1889001198
BNYMDAY4FUTOTHFUT,BNYMDAY4FUTOTHFUT40,1889001192,5/16/2019 14:56,5/16/2019 0:00,77072440,ACCT,(null),BUYL,MSCO,0,(null),10,1,USD,70GB,(null),(null),(null),74.65,(null),CFUT,CDU9 CAD CURR FUT SEP 19,CURR,CANADIAN DOLLAR,(null),(null),(null),(null),N,USD,9/17/2019 0:00,(null),(null),XCME,CASH,75.49,(null),9/17/2019 0:00,5/21/2019 10:32,1822879552,BNYMDAY4FUTOTHFUT1889001192
BNYMDAY4FUTOTHFUT,BNYMDAY4FUTOTHFUT40,1889001192,5/16/2019 14:56,5/16/2019 0:00,77072441,ACCT,(null),BUYL,MSCO,0,(null),10,2,USD,7AJF,(null),(null),(null),74.65,(null),CFUT,CDU9 CAD CURR FUT SEP 19,CURR,CANADIAN DOLLAR,(null),(null),(null),(null),N,USD,9/17/2019 0:00,(null),(null),XCME,CASH,75.49,(null),9/17/2019 0:00,5/21/2019 10:32,1822879552,BNYMDAY4FUTOTHFUT1889001192
BNYMDAY4FUTOTHFUT,BNYMDAY4FUTOTHFUT40,1889001192,5/16/2019 14:56,5/16/2019 0:00,77072438,ACCT,(null),BUYL,MSCO,0,(null),10,3,USD,9539,(null),(null),(null),74.65,(null),CFUT,CDU9 CAD CURR FUT SEP 19,CURR,CANADIAN DOLLAR,(null),(null),(null),(null),N,USD,9/17/2019 0:00,(null),(null),XCME,CASH,75.49,(null),9/17/2019 0:00,5/21/2019 10:32,1822879552,BNYMDAY4FUTOTHFUT1889001192
BNYMDAY4FUTOTHFUT,BNYMDAY4FUTOTHFUT40,1889001192,5/16/2019 14:56,5/16/2019 0:00,77072439,ACCT,(null),BUYL,MSCO,0,(null),10,4,USD,9810,(null),(null),(null),74.65,(null),CFUT,CDU9 CAD CURR FUT SEP 19,CURR,CANADIAN DOLLAR,(null),(null),(null),(null),N,USD,9/17/2019 0:00,(null),(null),XCME,CASH,75.49,(null),9/17/2019 0:00,5/21/2019 10:32,1822879552,BNYMDAY4FUTOTHFUT1889001192
BNYMDAY6TRSIUSTRS,BNYMDAY6TRSIUSTRS3052019081355,1887800071,5/20/2019 8:13,5/20/2019 0:00,77058408,CNCLACCT,OPEN,BUYL,JPM,10000000,2500000,10000000,2500000,USD,3472,R,173.2504,1,0,(null),SWAPTOTB,FI TRS REC USD IBXXLLTR 12/20/2020,FMI,MARKIT IBOXX USD LIQ LEV LOANS,0.00001,2.63263,USD-LIBOR-BBA-3M,6/20/2019 0:00,N,USD,12/20/2020 0:00,(null),3/20/2019 0:00,OTC,XXZ2,100,(null),(null),5/21/2019 9:12,1887196690,BNYMDAY6TRSIUSTRS1887800071
BNYMDAY6TRSIUSTRS,BNYMDAY6TRSIUSTRS3052019081355,1887800071,5/20/2019 8:13,5/20/2019 0:00,77058410,CNCLACCT,OPEN,BUYL,JPM,10000000,2500000,10000000,2500000,USD,70GB,R,173.2504,1,0,(null),SWAPTOTB,FI TRS REC USD IBXXLLTR 12/20/2020,FMI,MARKIT IBOXX USD LIQ LEV LOANS,0.00001,2.63263,USD-LIBOR-BBA-3M,6/20/2019 0:00,N,USD,12/20/2020 0:00,(null),3/20/2019 0:00,OTC,XXZ2,100,(null),(null),5/21/2019 9:12,1887196690,BNYMDAY6TRSIUSTRS1887800071
BNYMDAY6TRSIUSTRS,BNYMDAY6TRSIUSTRS3052019081355,1887800071,5/20/2019 8:13,5/20/2019 0:00,77058409,CNCLACCT,OPEN,BUYL,JPM,10000000,2500000,10000000,2500000,USD,9577,R,173.2504,1,0,(null),SWAPTOTB,FI TRS REC USD IBXXLLTR 12/20/2020,FMI,MARKIT IBOXX USD LIQ LEV LOANS,0.00001,2.63263,USD-LIBOR-BBA-3M,6/20/2019 0:00,N,USD,12/20/2020 0:00,(null),3/20/2019 0:00,OTC,XXZ2,100,(null),(null),5/21/2019 9:12,1887196690,BNYMDAY6TRSIUSTRS1887800071
