CRDSecid,AcnoMinor,Notional,InstrCode,IssueCurrency,TradeDate,MaturityDate,HiNetSedol,TransactionType,Quantity,Price,HiNetISIN,LongShort
1885758248                    ,9878        ,2500000,PAYSWPOP,USD,5/17/2019,2019-11-17 00:00:00,(null),OPTIONS,2500000,(null),(null),L
1880563531                    ,9878        ,2788498,CRDEFSWP,EUR,5/13/2019,2024-06-20 00:00:00,(null),SWAPS,2500000,(null),(null),L
1882393740                    ,9878        ,1450168.58,INTRTSWP,SGD,5/15/2019,2022-05-17 00:00:00,(null),SWAPS,2000000,(null),(null),L
1887196672                    ,9878        ,-2500000,FITRSWP,USD,5/20/2019,2020-06-20 00:00:00,(null),SWAPS,-2500000,(null),(null),S
1887196920                    ,9878        ,2000000,FITRSWP,USD,5/20/2019,2020-03-20 00:00:00,(null),SWAPS,2000000,(null),(null),L
1881715822                    ,9878        ,2500000,CMBXSWP,USD,5/14/2019,2059-11-17 00:00:00,(null),SWAPS,2500000,(null),(null),L
1885758174                    ,9539        ,-2500000,PASWPCDX,USD,5/17/2019,2019-12-18 00:00:00,(null),OPTIONS,-2500000,100.6590526,(null),S
1880563541                    ,9539        ,-2500000,CRDEFSWP,USD,5/13/2019,2024-06-20 00:00:00,(null),SWAPS,-2500000,96.75234268,(null),S
1882394480                    ,9539        ,-35884.74,INTRTSWP,INR,5/15/2019,2021-05-15 00:00:00,(null),SWAPS,-2500000,(null),(null),S
1882394258                    ,9539        ,-2500000,ZCINSWP,USD,5/15/2019,2021-05-17 00:00:00,(null),SWAPS,-2500000,(null),(null),S
1887196796                    ,9539        ,-2791237.75,FITRSWP,EUR,5/20/2019,2020-06-20 00:00:00,(null),SWAPS,-2500000,(null),(null),S
1887196672                    ,9539        ,-2500000,FITRSWP,USD,5/20/2019,2020-06-20 00:00:00,(null),SWAPS,-2500000,(null),(null),S
1881901478                    ,9539        ,-2500000,INDTRSWP,USD,5/14/2019,2023-12-20 00:00:00,(null),SWAPS,-2500000,(null),(null),S
1885758174                    ,7AJF        ,-2500000,PASWPCDX,USD,5/17/2019,2019-12-18 00:00:00,(null),OPTIONS,-2500000,100.6590526,(null),S
1880563541                    ,7AJF        ,-2500000,CRDEFSWP,USD,5/13/2019,2024-06-20 00:00:00,(null),SWAPS,-2500000,96.75234268,(null),S
1882394480                    ,7AJF        ,-35884.74,INTRTSWP,INR,5/15/2019,2021-05-15 00:00:00,(null),SWAPS,-2500000,(null),(null),S
1880234417                    ,7AJF        ,2788.5,EQTRSWP,USD,5/15/2019,2020-01-15 00:00:00,(null),SWAPS,200,29630.30311,(null),L
1882394258                    ,7AJF        ,-2500000,ZCINSWP,USD,5/15/2019,2021-05-17 00:00:00,(null),SWAPS,-2500000,(null),(null),S
1887196672                    ,7AJF        ,-2500000,FITRSWP,USD,5/20/2019,2020-06-20 00:00:00,(null),SWAPS,-2500000,(null),(null),S
1887196920                    ,7AJF        ,2000000,FITRSWP,USD,5/20/2019,2020-03-20 00:00:00,(null),SWAPS,2000000,(null),(null),L
1881901478                    ,7AJF        ,-2500000,INDTRSWP,USD,5/14/2019,2023-12-20 00:00:00,(null),SWAPS,-2500000,(null),(null),S
1885758211                    ,9810        ,2788498,RECSWPOP,EUR,5/17/2019,2020-03-17 00:00:00,(null),OPTIONS,2500000,98.574606,(null),L
1885777476                    ,9810        ,2500000,RESWPCDX,USD,5/17/2019,2019-08-21 00:00:00,(null),OPTIONS,2500000,113.315,(null),L
1880563531                    ,9810        ,2788498,CRDEFSWP,EUR,5/13/2019,2024-06-20 00:00:00,(null),SWAPS,2500000,(null),(null),L
1882393980                    ,9810        ,-597228.86,INTRTSWP,MYR,5/15/2019,2024-05-15 00:00:00,(null),SWAPS,-2500000,(null),(null),S
1882393740                    ,9810        ,1450168.58,INTRTSWP,SGD,5/15/2019,2022-05-17 00:00:00,(null),SWAPS,2000000,(null),(null),L
1887196920                    ,9810        ,2000000,FITRSWP,USD,5/20/2019,2020-03-20 00:00:00,(null),SWAPS,2000000,(null),(null),L
1881715822                    ,9810        ,2500000,CMBXSWP,USD,5/14/2019,2059-11-17 00:00:00,(null),SWAPS,2500000,(null),(null),L
1885758211                    ,9577        ,2788498,RECSWPOP,EUR,5/17/2019,2020-03-17 00:00:00,(null),OPTIONS,2500000,98.574606,(null),L
1885758248                    ,9577        ,2500000,PAYSWPOP,USD,5/17/2019,2019-11-17 00:00:00,(null),OPTIONS,2500000,(null),(null),L
1880563541                    ,9577        ,-2500000,CRDEFSWP,USD,5/13/2019,2024-06-20 00:00:00,(null),SWAPS,-2500000,96.75234268,(null),S
1882393980                    ,9577        ,-597228.86,INTRTSWP,MYR,5/15/2019,2024-05-15 00:00:00,(null),SWAPS,-2500000,(null),(null),S
1880234417                    ,9577        ,3137.06,EQTRSWP,USD,5/15/2019,2020-01-15 00:00:00,(null),SWAPS,225,29630.30311,(null),L
1882394258                    ,9577        ,-2500000,ZCINSWP,USD,5/15/2019,2021-05-17 00:00:00,(null),SWAPS,-2500000,(null),(null),S
1887196796                    ,9577        ,-2791237.75,FITRSWP,EUR,5/20/2019,2020-06-20 00:00:00,(null),SWAPS,-2500000,(null),(null),S
1887196672                    ,9577        ,-2500000,FITRSWP,USD,5/20/2019,2020-06-20 00:00:00,(null),SWAPS,-2500000,(null),(null),S
1885758211                    ,70GB        ,2788498,RECSWPOP,EUR,5/17/2019,2020-03-17 00:00:00,(null),OPTIONS,2500000,98.574606,(null),L
1885758248                    ,70GB        ,2500000,PAYSWPOP,USD,5/17/2019,2019-11-17 00:00:00,(null),OPTIONS,2500000,(null),(null),L
1885777476                    ,70GB        ,2500000,RESWPCDX,USD,5/17/2019,2019-08-21 00:00:00,(null),OPTIONS,2500000,113.315,(null),L
1885758174                    ,70GB        ,-2500000,PASWPCDX,USD,5/17/2019,2019-12-18 00:00:00,(null),OPTIONS,-2500000,100.6590526,(null),S
1880563531                    ,70GB        ,2788498,CRDEFSWP,EUR,5/13/2019,2024-06-20 00:00:00,(null),SWAPS,2500000,(null),(null),L
1882393980                    ,70GB        ,-597228.86,INTRTSWP,MYR,5/15/2019,2024-05-15 00:00:00,(null),SWAPS,-2500000,(null),(null),S
1882394480                    ,70GB        ,-35884.74,INTRTSWP,INR,5/15/2019,2021-05-15 00:00:00,(null),SWAPS,-2500000,(null),(null),S
1882393740                    ,70GB        ,1450168.58,INTRTSWP,SGD,5/15/2019,2022-05-17 00:00:00,(null),SWAPS,2000000,(null),(null),L
1887196796                    ,70GB        ,-2791237.75,FITRSWP,EUR,5/20/2019,2020-06-20 00:00:00,(null),SWAPS,-2500000,(null),(null),S
1881901478                    ,70GB        ,-2500000,INDTRSWP,USD,5/14/2019,2023-12-20 00:00:00,(null),SWAPS,-2500000,(null),(null),S
1881715822                    ,70GB        ,2500000,CMBXSWP,USD,5/14/2019,2059-11-17 00:00:00,(null),SWAPS,2500000,(null),(null),L
1885758211                    ,3472        ,2788498,RECSWPOP,EUR,5/17/2019,2020-03-17 00:00:00,(null),OPTIONS,2500000,98.574606,(null),L
1885758248                    ,3472        ,2500000,PAYSWPOP,USD,5/17/2019,2019-11-17 00:00:00,(null),OPTIONS,2500000,(null),(null),L
1880234417                    ,3472        ,4074.13,EQTRSWP,USD,5/13/2019,2020-01-15 00:00:00,(null),SWAPS,275,29630.30311,(null),L
1880563541                    ,3472        ,-2500000,CRDEFSWP,USD,5/13/2019,2024-06-20 00:00:00,(null),SWAPS,-2500000,96.75234268,(null),S
1882393980                    ,3472        ,-597228.86,INTRTSWP,MYR,5/15/2019,2024-05-15 00:00:00,(null),SWAPS,-2500000,(null),(null),S
1882394258                    ,3472        ,-2500000,ZCINSWP,USD,5/15/2019,2021-05-17 00:00:00,(null),SWAPS,-2500000,(null),(null),S
1887196920                    ,3472        ,2000000,FITRSWP,USD,5/20/2019,2020-03-20 00:00:00,(null),SWAPS,2000000,(null),(null),L
1885777476                    ,9752        ,2500000,RESWPCDX,USD,5/17/2019,2019-08-21 00:00:00,(null),OPTIONS,2500000,113.315,(null),L
1885758174                    ,9752        ,-2500000,PASWPCDX,USD,5/17/2019,2019-12-18 00:00:00,(null),OPTIONS,-2500000,100.6590526,(null),S
1880563531                    ,9752        ,2788498,CRDEFSWP,EUR,5/13/2019,2024-06-20 00:00:00,(null),SWAPS,2500000,(null),(null),L
1882394480                    ,9752        ,-35884.74,INTRTSWP,INR,5/15/2019,2021-05-15 00:00:00,(null),SWAPS,-2500000,(null),(null),S
1882393740                    ,9752        ,1450168.58,INTRTSWP,SGD,5/15/2019,2022-05-17 00:00:00,(null),SWAPS,2000000,(null),(null),L
1887196796                    ,9752        ,-2791237.75,FITRSWP,EUR,5/20/2019,2020-06-20 00:00:00,(null),SWAPS,-2500000,(null),(null),S
1881901478                    ,9752        ,-2500000,INDTRSWP,USD,5/14/2019,2023-12-20 00:00:00,(null),SWAPS,-2500000,(null),(null),S
1881715822                    ,9752        ,2500000,CMBXSWP,USD,5/14/2019,2059-11-17 00:00:00,(null),SWAPS,2500000,(null),(null),L
1888978916                    ,4568        ,181407.92,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,9386,19.26,(null),L
1888975848                    ,4568        ,365204.58,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,1866145,(null),(null),L
1888978895                    ,4568        ,61532.28,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,5413,11.52,(null),L
1888976097                    ,4568        ,101505.09,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,11711,8.6,(null),L
1888975872                    ,4568        ,-15537.07,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-3063,(null),(null),S
1888978931                    ,4568        ,226040.42,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,21951,11,(null),L
1888976001                    ,4568        ,331869.71,EQTRSWP,AUD,5/21/2019,2020-01-15 00:00:00,9625307                       ,SWAPS,277003,(null),(null),L
1888978901                    ,4568        ,138271.96,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,10533,13.14,(null),L
1888976107                    ,4568        ,173138.76,EQTRSWP,AUD,5/21/2019,2020-01-15 00:00:00,9625341                       ,SWAPS,256582,107.7,(null),L
1888976070                    ,4568        ,88820.33,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,510,175.72,(null),L
1888976114                    ,4568        ,3251,EQTRSWP,GBP,5/21/2019,2020-01-15 00:00:00,9625330                       ,SWAPS,1116,2.84954744,(null),L
1888976082                    ,4568        ,310867.83,EQTRSWP,EUR,5/21/2019,2020-01-15 00:00:00,9625200                       ,SWAPS,6149,101.5,(null),L
1888976085                    ,4568        ,465121.62,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,31216216,105.053,(null),L
1888976141                    ,4568        ,25131.68,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,1216,20.2,(null),L
1888976016                    ,4568        ,-15534.13,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-879,17.77,(null),S
1888975842                    ,4568        ,-36024.41,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-28762,1.13,(null),S
1888978934                    ,4568        ,-200927.14,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-6555,30.71,(null),S
1888976088                    ,4568        ,-107975.76,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-61966,(null),(null),S
1888976100                    ,4568        ,-27498.61,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-903,30.12,(null),S
1888976121                    ,4568        ,-256341.03,EQTRSWP,CHF,5/21/2019,2020-01-15 00:00:00,9625147                       ,SWAPS,-7722,(null),(null),S
1888976091                    ,4568        ,-209822.31,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,-14498,14.39,(null),S
1888978945                    ,4568        ,139097.2,EQTRSWP,EUR,5/21/2019,2020-01-15 00:00:00,9625103                       ,SWAPS,12690,103.225,(null),L
1888976019                    ,4568        ,120489.02,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,4503,27.06,(null),L
1888978905                    ,4568        ,140538.07,EQTRSWP,USD,5/21/2019,2020-01-15 00:00:00,(null),SWAPS,1861,(null),(null),L
