ACT_BANK_ACCT_NUM,ALC_EXEC_AMT,ALC_FEE_AMT,ALC_INT_AMT,BLK_HOL_CAL,BLK_ORDER_ID,BLK_OTH_EFF_DATE,BLK_SEC_ID,STATUS,BLK_TRADE_DATE,BLK_TRADE_TYPE,BLK_TRANS_SUB_TYPE,SEC_OTC_CLEAR_IND,SEC_CUSIP,SEC_CUST_DOC_CLAUSE,SEC_SWAP_LEG_IND,SEC_TRM_MASTER_DOC_TRANS_TYPE,SEC_TYP_CD,UND_SEC_TYP_CD,UND_SHORT_NM,SEC_ROLL_CONV,BLK_CREATE_DATE,ALC_ACCT_CD,ALC_EXEC_QTY,ALC_TRADE_ID,BLK_PAY_DATE,SEC_FACTOR,SEC_ISSUE_DATE,SEC_MATURE_DATE,UND_ISIN_NO,BLK_TDE_CRRNCY,BLK_EXCH_CD,ORIG_ORDER_ID,BLK_EXCH_DEALID,BLK_STUB,SEC_TRADE_IND,LEG1_ACCRUAL_TYP_CD,LEG1_CPN_BD_ADJ,LEG1_MAT_DATE_ADJ,LEG1_DAY_BASIS,LEG1_HOL_CAL,LEG1_PAY_FREQ,LEG1_RESET_BD_ADJ,LEG1_RESET_FREQ,LEG2_ACCRUAL_TYP_CD,LEG2_CPN_BD_ADJ,LEG2_MAT_DATE_ADJ,LEG2_DAY_BASIS,LEG2_HOL_CAL,LEG2_PAY_FREQ,LEG2_RESET_BD_ADJ,LEG2_RESET_FREQ,LEG1_SWAP_LEG_IND,LEG2_SWAP_LEG_IND,LEG1_EFFEC_DATE,LEG1_MATURE_DATE,LEG1_RESET_LAG_DAYS,LEG1_SEC_ID,LEG2_EFFEC_DATE,LEG2_MATURE_DATE,LEG2_RESET_LAG_DAYS,LEG2_SEC_ID,LEG1_COUPON_RATE,LEG1_FST_PAY_DATE,LEG1_FLT_INDX,LEG2_FLT_INDX,LEG2_IDX_PAY_FREQ,SEC_TRANS_TYP,BRK_CD,ALC_CLR_BRK_CD,ORIG_BRK_CD,ISS_RED_CD,SEC_CCP_IND,BLK_FX_RATE,SEC_SWAP_SUB_TYPE,SEC_IRS_HOL_CAL,LEG1_FIXING_OPT,LEG1_IDX_PAY_FREQ,LEG1_INF_INTERP,LEG1_INF_PUB,LEG2_FIXING_OPT,LEG2_INF_INTERP,LEG2_INF_PUB,LEG2_INF_SRC,LEG1_LST_PAY_DATE,LEG2_FST_PAY_DATE,LEG2_LST_PAY_DATE,LEG2_RTE_RND_PREC,LEG1_COMP_MTHD,LEG2_COMP_MTHD,LEG1_PAY_LAG,LEG2_PAY_LAG,SEC_EXPIRY_DATE,SEC_ASSET_CRRNCY_CD,SEC_LOC_CRRNCY_CD,SEC_STRIKE_PRICE,SEC_OPTION_STYLE,SEC_OPTION_TYPE,SEC_INF_FIXED_RATE,SEC_IMP_INF_CPI,SEC_VALUE_DATE,SEC_EXP_TIME,SEC_EXP_ZONE,BLK_IRR_RATE,ALC_VERSION_NO,SEC_SETTLE_METHOD,SEC_CNTRCT_SIZE,UND_EXCH_CD,BLK_TRANS_TYPE,ALC_COMM_AMT,BLK_VERSION_NO,UND_FIXED_RATE,UND_RED_CODE,UND_PAY_FREQ,ORD_PROT_TYPE,UND_MATURE_DATE,SEC_DEL_TYP,ORD_EXEC_PRICE,SEC_RATING_TIER,BLK_DEAL_SPREAD,LEG1_SECID,LEG2_SECID,OPT_HOL_CAL,UND_SEC_SEDOL,SEC_RST_MARGIN,UND_SEC_TICKER,TRS_ROLL_CONVTN,TRS_NOTIONAL_RST,TRS_PRICE_MTHD,ORD_DEAL_PRICE,BLK_EXCH_RATE,ORD_ASSET_PRICE,LEG1_ROLL_CONV,LEG2_ROLL_CONV,SEC_INF_CPI_INDEX,ALC_FEE_1_CD,ALC_FEE_1_AMT,ALC_FEE_2_CD,ALC_FEE_2_AMT,ALC_FEE_3_CD,ALC_FEE_3_AMT,ALC_FEE_4_CD,ALC_FEE_4_AMT,ALC_FEE_5_CD,ALC_FEE_5_AMT,ALC_FEE_6_CD,ALC_FEE_6_AMT,LEG1_NEXT_CPN_DATE,LEG2_NEXT_CPN_DATE,BLK_INIT_REF_INDEX,SEC_TRS_RETURN,SEC_TRS_ASSET_CLASS,LEG2_COUPON_RATE,LEG1_TRP_CUSIP,LEG2_TRP_CUSIP,BLK_BRK_RSN,BLK_DELIVERY_TYPE,BLK_TRADER,BLK_ORDER_TYPE,BLK_TRADING_VENUE,EXEC_TIME,BB_TICKER,BB_EXCH,ALC_INV_DEC_MAKER,FILL_LAST_CAPACITY,BLK_EMP_ID,BLK_PLACEMENT_ID,ALC_COMM_IND_R,ALC_COMM_RATE_R,ALC_COMM_AMT_R,ALC_COMM_IND_E,ALC_COMM_RATE_E,ALC_COMM_AMT_E,BB_MKT_SECT,FILL_DATE,ORD_REASON_CD,ORIG_REASON_CD,EQTRS_LAST_RESET_PRICE,ORD_INIT_ASSET_PRICE,BLK_NETTING_ID,TRS_NET_PRICE,TRS_ALC_NOTIONAL,TRS_ALC_UNITS,UDF_ST1,UDF_ST2,UDF_NUM1,UDF_NUM2,UDF_DT1,UDF_DT2,SEC_TICKER,SEC_EXCH_CNTRY,SEC_DESCRIPTION,ORD_TRADING_DESK,NORM_ALC_EXEC_AMT,NORM_ALC_INT_AMT,SS_SEC_SWAP_LEG_IND,SS_BLK_TRADE_TYPE,SS_BLK_TRANS_SUB_TYPE,LEG1_CURRENCY,LEG2_CURRENCY,SWPTNLEG1_ACCRUAL_TYP_CD,SWPTNLEG1_CPN_BD_ADJ,SWPTNLEG1_MAT_DATE_ADJ,SWPTNLEG1_DAY_BASIS,SWPTNLEG1_HOL_CAL,SWPTNLEG1_PAY_FREQ,SWPTNLEG1_RESET_BD_ADJ,SWPTNLEG1_RESET_FREQ,SWPTNLEG1_SWAP_LEG_IND,SWPTNLEG1_EFFEC_DATE,SWPTNLEG1_MATURE_DATE,SWPTNLEG1_RESET_LAG_DAYS,SWPTNLEG1_SEC_ID,SWPTNLEG1_COUPON_RATE,SWPTNLEG1_FST_PAY_DATE,SWPTNLEG1_FLT_INDX,SWPTNLEG1_IDX_PAY_FREQ,SWPTNLEG1_LAST_PAY_DATE,SWPTNLEG1_COMP_MTHD,SWPTNLEG1_PAY_LAG,SWPTNLEG1_ROLL_CONV,SWPTNLEG1_TRP_CUSIP,SWPTNLEG1_CURRENCY,SWPTNLEG2_ACCRUAL_TYP_CD,SWPTNLEG2_CPN_BD_ADJ,SWPTNLEG2_MAT_DATE_ADJ,SWPTNLEG2_DAY_BASIS,SWPTNLEG2_HOL_CAL,SWPTNLEG2_PAY_FREQ,SWPTNLEG2_RESET_BD_ADJ,SWPTNLEG2_RESET_FREQ,SWPTNLEG2_SWAP_LEG_IND,SWPTNLEG2_EFFEC_DATE,SWPTNLEG2_MATURE_DATE,SWPTNLEG2_RESET_LAG_DAYS,SWPTNLEG2_SEC_ID,SWPTNLEG2_COUPON_RATE,SWPTNLEG2_FST_PAY_DATE,SWPTNLEG2_FLT_INDX,SWPTNLEG2_IDX_PAY_FREQ,SWPTNLEG2_LAST_PAY_DATE,SWPTNLEG2_COMP_MTHD,SWPTNLEG2_PAY_LAG,SWPTNLEG2_ROLL_CONV,SWPTNLEG2_TRP_CUSIP,SWPTNLEG2_CURRENCY,LEG1_IRS_RATE,LEG2_IRS_RATE,ALC_NET_AMT,SEC_EARLIEST_EXP_TIME,SEC_LATEST_EXP_TIME,NORM_SEC_DOC_CLAUSE
EM359,0,0,0,"GBLO,USNY",1844664628,03/20/2019 0:00,1844664625,ACCT,03/19/2019 0:00,Trade,OPEN,N,137BERAJ6,NotApplicable,P,2003CreditIndex,SWAPCDSI,CDSI,CMBX,25,03/19/2019 12:28,9810,521739,77330013,03/22/2019 0:00,1,03/20/2019 0:00,11/17/2059 0:00,,USD,OTC,,,STUB,CMBX,FIX,FOLLOWING,FOLLOWING,ACT/360,,1M,FOLLOWING,1M,FIX,FOLLOWING,FOLLOWING,ACT/360,,1M,FOLLOWING,1M,P,R,01/25/2017 0:00,11/17/2059 0:00,,1844664626,01/25/2017 0:00,11/17/2059 0:00,,1844664627,3,02/27/2017 0:00,,,,CDI,GSCO,,,,,,,,,,,,,,,,10/17/2059 0:00,02/27/2017 0:00,,,None,None,0,0,,USD,USD,,,SWAPCDSI,,,,,,,17,,1,OTC,BUYL,,17,,137BERAJ6,1M,P,11/17/2059 0:00,WIRE,95.7304662,SNRFOR,369.5,1844664626,1844664627,,,0,CBX3B-10,,TRUE,CDSI,,,,25,25,,,0,,0,,0,,0,,0,,0,,,,SWAPCDSI,SWAPCDSI,0.00001,5708889J8,5708889K5,B,WIRE,JCAMPBE,MKT,,03/19/2019 15:45,,,LNDD378,P,TRPF970,2,,,,,,,,03/19/2019 15:45,,,,,,,,521739,,,,,,,,US,CMBX BBB- CDSI S10 PRC 11/17/2059,BALT,-22275.82,956.52,P,Trade,OPEN,USD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,21319.3,,,XR
EM359,0,0,0,"GBLO,USNY",1845569839,03/20/2019 0:00,1845569835,ACCT,03/19/2019 0:00,Trade,OPEN,N,137BERAJ6,NotApplicable,P,2003CreditIndex,SWAPCDSI,CDSI,CMBX,25,03/19/2019 12:28,9810,3478261,77369222,03/22/2019 0:00,1,03/20/2019 0:00,11/17/2059 0:00,,USD,OTC,,,STUB,CMBX,FIX,FOLLOWING,FOLLOWING,ACT/360,,1M,FOLLOWING,1M,FIX,FOLLOWING,FOLLOWING,ACT/360,,1M,FOLLOWING,1M,P,R,01/25/2017 0:00,11/17/2059 0:00,,1845569837,01/25/2017 0:00,11/17/2059 0:00,,1845569836,3,02/27/2017 0:00,,,,CDI,GSCO,,,,,,,,,,,,,,,,10/17/2059 0:00,02/27/2017 0:00,,,None,None,0,0,,USD,USD,,,SWAPCDSI,,,,,,,53,,1,OTC,BUYL,,53,,137BERAJ6,1M,P,11/17/2059 0:00,WIRE,95.7304662,SNRFOR,369.5,1845569837,1845569836,,,0,CBX3B-10,,TRUE,CDSI,,,,25,25,,,0,,0,,0,,0,,0,,0,,,,SWAPCDSI,SWAPCDSI,0.00001,5708889G4,5708889H2,B,WIRE,JCAMPBE,MKT,,03/19/2019 15:38,,,LNDD378,P,TRPF970,2,,,,,,,,03/19/2019 15:38,,,,,,,,3478261,,,,,,,,US,CMBX BBB- CDSI S10 PRC 11/17/2059,BALT,-148505.53,6376.81,P,Trade,OPEN,USD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,142128.72,,,XR
MJEZ,0,0,0,"GBLO,USNY",1846835546,03/21/2019 0:00,1846835541,ACCT,03/20/2019 0:00,Trade,OPEN,Y,2I65BYBE4,NotApplicable,P,2003CreditIndex,SWAPCDSI,CDSI,CDX,20,03/20/2019 9:46,9752,5350000,77379220,03/21/2019 0:00,1,03/20/2019 0:00,06/20/2024 0:00,,USD,ICE,,,NONE,CDX,FIX,FOLLOWING,NONE,ACT/360,,3M,FOLLOWING,3M,FIX,FOLLOWING,NONE,ACT/360,,3M,FOLLOWING,3M,P,R,03/20/2019 0:00,06/20/2024 0:00,,1846835543,03/20/2019 0:00,06/20/2024 0:00,,1846835542,1,06/20/2019 0:00,,,,CDI,JPM,MSCO,,,CCP,,,,,,,,,,,,03/20/2024 0:00,06/20/2019 0:00,,,None,None,0,0,,USD,USD,,,SWAPCDSI,,,,,,,77,,1,OTC,BUYL,,77,,2I65BYBE4,3M,P,06/20/2024 0:00,ICE,101.6070719,SNRFOR,66.79,1846835543,1846835542,,,0,CDXIG532,,TRUE,CDSI,,,,20,20,,CLEARING BROKER FEE,0,,0,,0,,0,,0,,0,,,,SWAPCDSI,SWAPCDSI,0.00001,TC6RBMQE0,TC21UGGK0,B,ICE,MPDALEY,MKT,BBRG SEF,03/20/2019 11:11,,,LNDD378,P,FXI9Q09,2,,,,,,,,03/20/2019 11:32,,,,,2I65BYBE4_20240620,,,132950000,,,,,,,,US,CDX IG CDSI S32 5YR 06/20/2024,BALT,2136602.03,3693.05,P,Trade,OPEN,USD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2139995.08,,,XR14
IB8V,0,0,0,"GBLO,USNY",1846835546,03/21/2019 0:00,1846835541,ACCT,03/20/2019 0:00,Trade,OPEN,Y,2I65BYBE4,NotApplicable,P,2003CreditIndex,SWAPCDSI,CDSI,CDX,20,03/20/2019 9:46,9878,10900000,77379217,03/21/2019 0:00,1,03/20/2019 0:00,06/20/2024 0:00,,USD,ICE,,,NONE,CDX,FIX,FOLLOWING,NONE,ACT/360,,3M,FOLLOWING,3M,FIX,FOLLOWING,NONE,ACT/360,,3M,FOLLOWING,3M,P,R,03/20/2019 0:00,06/20/2024 0:00,,1846835543,03/20/2019 0:00,06/20/2024 0:00,,1846835542,1,06/20/2019 0:00,,,,CDI,JPM,JPM,,,CCP,,,,,,,,,,,,03/20/2024 0:00,06/20/2019 0:00,,,None,None,0,0,,USD,USD,,,SWAPCDSI,,,,,,,77,,1,OTC,BUYL,,77,,2I65BYBE4,3M,P,06/20/2024 0:00,ICE,101.6070719,SNRFOR,66.79,1846835543,1846835542,,,0,CDXIG532,,TRUE,CDSI,,,,20,20,,CLEARING BROKER FEE,0,,0,,0,,0,,0,,0,,,,SWAPCDSI,SWAPCDSI,0.00001,TC6RBMQE0,TC21UGGK0,B,ICE,MPDALEY,MKT,BBRG SEF,03/20/2019 11:11,,,LNDD378,P,FXI9Q09,2,,,,,,,,03/20/2019 11:32,,,,,2I65BYBE4_20240620,,,66950000,,,,,,,,US,CDX IG CDSI S32 5YR 06/20/2024,BALT,1075934.61,1859.73,P,Trade,OPEN,USD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1077394.34,,,XR14
EM359,0,0,0,"GBLO,USNY",1846835546,03/21/2019 0:00,1846835541,ACCT,03/20/2019 0:00,Trade,OPEN,Y,2I65BYBE4,NotApplicable,P,2003CreditIndex,SWAPCDSI,CDSI,CDX,20,03/20/2019 9:46,9810,10080000,77379222,03/21/2019 0:00,1,03/20/2019 0:00,06/20/2024 0:00,,USD,ICE,,,NONE,CDX,FIX,FOLLOWING,NONE,ACT/360,,3M,FOLLOWING,3M,FIX,FOLLOWING,NONE,ACT/360,,3M,FOLLOWING,3M,P,R,03/20/2019 0:00,06/20/2024 0:00,,1846835543,03/20/2019 0:00,06/20/2024 0:00,,1846835542,1,06/20/2019 0:00,,,,CDI,JPM,MSCO,,,CCP,,,,,,,,,,,,03/20/2024 0:00,06/20/2019 0:00,,,None,None,0,0,,USD,USD,,,SWAPCDSI,,,,,,,77,,1,OTC,BUYL,,77,,2I65BYBE4,3M,P,06/20/2024 0:00,ICE,101.6070719,SNRFOR,66.79,1846835543,1846835542,,,0,CDXIG532,,TRUE,CDSI,,,,20,20,,CLEARING BROKER FEE,0,,0,,0,,0,,0,,0,,,,SWAPCDSI,SWAPCDSI,0.00001,TC6RBMQE0,TC21UGGK0,B,ICE,MPDALEY,MKT,BBRG SEF,03/20/2019 11:11,,,LNDD378,P,FXI9Q09,2,,,,,,,,03/20/2019 11:32,,,,,2I65BYBE4_20240620,,,57100000,,,,,,,,US,CDX IG CDSI S32 5YR 06/20/2024,BALT,917638.03,1586.11,P,Trade,OPEN,USD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,918924.14,,,XR14
70GB,0,0,0,"GBLO,USNY",1846835546,03/21/2019 0:00,1846835541,ACCT,03/20/2019 0:00,Trade,OPEN,Y,2I65BYBE4,NotApplicable,P,2003CreditIndex,SWAPCDSI,CDSI,CDX,20,03/20/2019 9:46,70GB,151000000,77379216,03/21/2019 0:00,1,03/20/2019 0:00,06/20/2024 0:00,,USD,ICE,,,NONE,CDX,FIX,FOLLOWING,NONE,ACT/360,,3M,FOLLOWING,3M,FIX,FOLLOWING,NONE,ACT/360,,3M,FOLLOWING,3M,P,R,03/20/2019 0:00,06/20/2024 0:00,,1846835543,03/20/2019 0:00,06/20/2024 0:00,,1846835542,1,06/20/2019 0:00,,,,CDI,JPM,JPM,,,CCP,,,,,,,,,,,,03/20/2024 0:00,06/20/2019 0:00,,,None,None,0,0,,USD,USD,,,SWAPCDSI,,,,,,,77,,1,OTC,BUYL,,77,,2I65BYBE4,3M,P,06/20/2024 0:00,ICE,101.6070719,SNRFOR,66.79,1846835543,1846835542,,,0,CDXIG532,,TRUE,CDSI,,,,20,20,,CLEARING BROKER FEE,0,,0,,0,,0,,0,,0,,,,SWAPCDSI,SWAPCDSI,0.00001,TC6RBMQE0,TC21UGGK0,B,ICE,MPDALEY,MKT,BBRG SEF,03/20/2019 11:11,,,LNDD378,P,FXI9Q09,2,,,,,,,,03/20/2019 11:32,,,,,2I65BYBE4_20240620,,,1107750000,,,,,,,,US,CDX IG CDSI S32 5YR 06/20/2024,BALT,17802338.5,30770.83,P,Trade,OPEN,USD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17832709.33,,,XR14
70JF,0,0,0,"GBLO,USNY",1846835546,03/21/2019 0:00,1846835541,ACCT,03/20/2019 0:00,Trade,OPEN,Y,2I65BYBE4,NotApplicable,P,2003CreditIndex,SWAPCDSI,CDSI,CDX,20,03/20/2019 9:46,7AJF,84370000,77379215,03/21/2019 0:00,1,03/20/2019 0:00,06/20/2024 0:00,,USD,ICE,,,NONE,CDX,FIX,FOLLOWING,NONE,ACT/360,,3M,FOLLOWING,3M,FIX,FOLLOWING,NONE,ACT/360,,3M,FOLLOWING,3M,P,R,03/20/2019 0:00,06/20/2024 0:00,,1846835543,03/20/2019 0:00,06/20/2024 0:00,,1846835542,1,06/20/2019 0:00,,,,CDI,JPM,JPM,,,CCP,,,,,,,,,,,,03/20/2024 0:00,06/20/2019 0:00,,,None,None,0,0,,USD,USD,,,SWAPCDSI,,,,,,,77,,1,OTC,BUYL,,77,,2I65BYBE4,3M,P,06/20/2024 0:00,ICE,101.6070719,SNRFOR,66.79,1846835543,1846835542,,,0,CDXIG532,,TRUE,CDSI,,,,20,20,,CLEARING BROKER FEE,0,,0,,0,,0,,0,,0,,,,SWAPCDSI,SWAPCDSI,0.00001,TC6RBMQE0,TC21UGGK0,B,ICE,MPDALEY,MKT,BBRG SEF,03/20/2019 11:11,,,LNDD378,P,FXI9Q09,2,,,,,,,,03/20/2019 11:32,,,,,2I65BYBE4_20240620,,,516000000,,,,,,,,US,CDX IG CDSI S32 5YR 06/20/2024,BALT,8292490.78,14333.33,P,Trade,OPEN,USD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8306424.11,,,XR14
BAH13,0,0,0,"GBLO,USNY",1846835546,03/21/2019 0:00,1846835541,ACCT,03/20/2019 0:00,Trade,OPEN,Y,2I65BYBE4,NotApplicable,P,2003CreditIndex,SWAPCDSI,CDSI,CDX,20,03/20/2019 9:46,9577,39050000,77379221,03/21/2019 0:00,1,03/20/2019 0:00,06/20/2024 0:00,,USD,ICE,,,NONE,CDX,FIX,FOLLOWING,NONE,ACT/360,,3M,FOLLOWING,3M,FIX,FOLLOWING,NONE,ACT/360,,3M,FOLLOWING,3M,P,R,03/20/2019 0:00,06/20/2024 0:00,,1846835543,03/20/2019 0:00,06/20/2024 0:00,,1846835542,1,06/20/2019 0:00,,,,CDI,JPM,JPM,,,CCP,,,,,,,,,,,,03/20/2024 0:00,06/20/2019 0:00,,,None,None,0,0,,USD,USD,,,SWAPCDSI,,,,,,,77,,1,OTC,BUYL,,77,,2I65BYBE4,3M,P,06/20/2024 0:00,ICE,101.6070719,SNRFOR,66.79,1846835543,1846835542,,,0,CDXIG532,,TRUE,CDSI,,,,20,20,,CLEARING BROKER FEE,0,,0,,0,,0,,0,,0,,,,SWAPCDSI,SWAPCDSI,0.00001,TC6RBMQE0,TC21UGGK0,B,ICE,MPDALEY,MKT,BBRG SEF,03/20/2019 11:11,,,LNDD378,P,FXI9Q09,2,,,,,,,,03/20/2019 11:32,,,,,2I65BYBE4_20240620,,,424450000,,,,,,,,US,CDX IG CDSI S32 5YR 06/20/2024,BALT,6821216.5,11790.28,P,Trade,OPEN,USD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6832606.78,,,XR14
AEJ03,0,0,0,"GBLO,USNY",1846835546,03/21/2019 0:00,1846835541,ACCT,03/20/2019 0:00,Trade,OPEN,Y,2I65BYBE4,NotApplicable,P,2003CreditIndex,SWAPCDSI,CDSI,CDX,20,03/20/2019 9:46,9539,53700000,77379224,03/21/2019 0:00,1,03/20/2019 0:00,06/20/2024 0:00,,USD,ICE,,,NONE,CDX,FIX,FOLLOWING,NONE,ACT/360,,3M,FOLLOWING,3M,FIX,FOLLOWING,NONE,ACT/360,,3M,FOLLOWING,3M,P,R,03/20/2019 0:00,06/20/2024 0:00,,1846835543,03/20/2019 0:00,06/20/2024 0:00,,1846835542,1,06/20/2019 0:00,,,,CDI,JPM,JPM,,,CCP,,,,,,,,,,,,03/20/2024 0:00,06/20/2019 0:00,,,None,None,0,0,,USD,USD,,,SWAPCDSI,,,,,,,77,,1,OTC,BUYL,,77,,2I65BYBE4,3M,P,06/20/2024 0:00,ICE,101.6070719,SNRFOR,66.79,1846835543,1846835542,,,0,CDXIG532,,TRUE,CDSI,,,,20,20,,CLEARING BROKER FEE,0,,0,,0,,0,,0,,0,,,,SWAPCDSI,SWAPCDSI,0.00001,TC6RBMQE0,TC21UGGK0,B,ICE,MPDALEY,MKT,BBRG SEF,03/20/2019 11:11,,,LNDD378,P,FXI9Q09,2,,,,,,,,03/20/2019 11:32,,,,,2I65BYBE4_20240620,,,348000000,,,,,,,,US,CDX IG CDSI S32 5YR 06/20/2024,BALT,5592610.06,9666.67,P,Trade,OPEN,USD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5601876.73,,,XR14
AEJ03,0,0,0,"GBLO,EUTA",1846835881,03/21/2019 0:00,1846835877,ACCT,03/20/2019 0:00,Trade,OPEN,Y,2I666VCU7,ModModR,P,2003CreditIndex,SWAPCDSI,CDSI,ITRAXX,20,03/20/2019 9:56,9539,63100000,77379514,03/21/2019 0:00,1,03/20/2019 0:00,06/20/2024 0:00,,EUR,ICE,,,NONE,ITRAXX,FIX,FOLLOWING,NONE,ACT/360,,3M,FOLLOWING,3M,FIX,FOLLOWING,NONE,ACT/360,,3M,FOLLOWING,3M,P,R,03/20/2019 0:00,06/20/2024 0:00,,1846835879,03/20/2019 0:00,06/20/2024 0:00,,1846835878,1,06/20/2019 0:00,,,,CDI,MLCO,JPM,,,CCP,,,,,,,,,,,,03/20/2024 0:00,06/20/2019 0:00,,,None,None,0,0,,EUR,EUR,,,SWAPCDSI,,,,,,,61,,1,OTC,BUYL,,61,,2I666VCU7,3M,P,06/20/2024 0:00,ICE,101.7611767,SNRFOR,66,1846835879,1846835878,,,0,ITXEB531,,TRUE,CDSI,,,,20,20,,CLEARING BROKER FEE,0,,0,,0,,0,,0,,0,06/20/2019 0:00,,,SWAPCDSI,SWAPCDSI,0.00001,TC14PDX29,TC0EM8J69,B,ICE,PCABLE,MKT,BBRG SEF,03/20/2019 16:38,,,LNDD378,P,LND9B92,8,,,,,,,,03/20/2019 12:24,,,,,2I666VCU7_20240620,,,105000000,,,,,,,,EU,ITRX EUR CDSI S31 V2 5Y 06/20/2024,LOND,1849235.52,2916.67,P,Trade,OPEN,EUR,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1852152.18,,,MM14
