CRDSecid,AcnoMinor,Notional,InstrCode,IssueCurrency,TradeDate,MaturityDate,HiNetSedol,TransactionType,Quantity,TradePrice,HiNetISIN,LongShort,ExchgBuyRate,SecurityName,CRDOrderID,StrikePrice
1881715911,9539,-2500000,CMBXSWP,USD,5/14/2019,11/17/2059 0:00,(null),SWAPS,-2500000,95.4,(null),S,1,CMBX BBB- CDSI S10 PRC 11/17/2059,77060495,0
1881715911,7AJF        ,-2500000,CMBXSWP,USD,5/14/2019,11/17/2059 0:00,(null),SWAPS,-2500000,95.4,(null),S,1,CMBX BBB- CDSI S10 PRC 11/17/2059,77060496,0
1881715911,70GB        ,-2500000,CMBXSWP,USD,5/14/2019,11/17/2059 0:00,(null),SWAPS,-2500000,95.4,(null),S,1,CMBX BBB- CDSI S10 PRC 11/17/2059,77060498,0
1881715911,9752,-2500000,CMBXSWP,USD,5/14/2019,11/17/2059 0:00,(null),SWAPS,-2500000,95.4,(null),S,1,CMBX BBB- CDSI S10 PRC 11/17/2059,77060497,0
1881715802,9539,500000,CMBXSWP,USD,5/14/2019,11/17/2059 0:00,(null),SWAPS,500000,100.3,(null),L,1,CMBX AAA CDSI S10 PRC 11/17/2059,77060490,0
1881715802,7AJF        ,500000,CMBXSWP,USD,5/14/2019,11/17/2059 0:00,(null),SWAPS,500000,100.3,(null),L,1,CMBX AAA CDSI S10 PRC 11/17/2059,77060491,0
1892193093,7AJF        ,2500000,CMBXSWP,USD,5/24/2019,11/17/2059 0:00,(null),SWAPS,2500000,94.8,(null),L,1,CMBX BBB- CDSI S10 PRC 06/20/59,77090512,0
1881715802,9810,500000,CMBXSWP,USD,5/14/2019,11/17/2059 0:00,(null),SWAPS,500000,100.3,(null),L,1,CMBX AAA CDSI S10 PRC 11/17/2059,77060494,0
1892193093,9577,2500000,CMBXSWP,USD,5/24/2019,11/17/2059 0:00,(null),SWAPS,2500000,94.8,(null),L,1,CMBX BBB- CDSI S10 PRC 06/20/59,77090511,0
1881715802,70GB        ,500000,CMBXSWP,USD,5/14/2019,11/17/2059 0:00,(null),SWAPS,500000,100.3,(null),L,1,CMBX AAA CDSI S10 PRC 11/17/2059,77060493,0
1892193093,70GB        ,2500000,CMBXSWP,USD,5/24/2019,11/17/2059 0:00,(null),SWAPS,2500000,94.8,(null),L,1,CMBX BBB- CDSI S10 PRC 06/20/59,77090513,0
1881715802,9752,500000,CMBXSWP,USD,5/14/2019,11/17/2059 0:00,(null),SWAPS,500000,100.3,(null),L,1,CMBX AAA CDSI S10 PRC 11/17/2059,77060492,0
1892193093,9878,2500000,CMBXSWP,USD,5/24/2019,11/17/2059 0:00,(null),SWAPS,2500000,94.8,(null),L,1,CMBX BBB- CDSI S10 PRC 06/20/59,77090514,0
1626332491,9539,-1151744.27,CRDEFSWP,EUR,9/27/2018,12/20/2023 0:00,9608096,SWAPS,-1015873,118.5944067,(null),S,0.85638,BMW FINANCE NV CDS 12/20/2023,74909206,0
1627725069,9539,-1727616.97,CRDEFSWP,EUR,9/27/2018,12/20/2023 0:00,9608234,SWAPS,-1523810,117.2443154,(null),S,0.85638,DAIMLER AG CDS 12/20/2023,74909238,0
1628801457,9539,-1151744.27,CRDEFSWP,EUR,9/28/2018,12/20/2023 0:00,9608513,SWAPS,-1015873,117.8120204,(null),S,0.86096,BMW FINANCE NV CDS 12/20/2023,74909311,0
1631032416,9539,-1334434.2,CRDEFSWP,EUR,10/1/2018,12/20/2023 0:00,9608739,SWAPS,-1177011,115.4955486,(null),S,0.86322,VOLKSWAGEN INTL FIN NV CDS 12/20/2023,75001024,0
1698381983,9539,-1754717,CRDEFSWP,USD,11/21/2018,12/20/2023 0:00,9615472,SWAPS,-1754717,92.17717363,(null),S,1,BAHRAIN CDS 12/20/2023,75759934,0
1880563541,9539,-1875000,CRDEFSWP,USD,5/13/2019,6/20/2024 0:00,(null),SWAPS,-1875000,113.0974219,(null),S,1,FORD MOTOR COMPANY CDS 06/20/24,77025387,0
1267305757,7AJF        ,-3741369.34,CRDEFSWP,EUR,2/26/2018,12/20/2022 0:00,9573020,SWAPS,-3300000,145.7038292,(null),S,0.81384,GLENCORE FINANCE EUROPE CDS 12/20/2022,71897916,0
1626332491,7AJF        ,-1818721.59,CRDEFSWP,EUR,9/27/2018,12/20/2023 0:00,9608096,SWAPS,-1604167,118.5944067,(null),S,0.85638,BMW FINANCE NV CDS 12/20/2023,74909198,0
1627725069,7AJF        ,-2728081.81,CRDEFSWP,EUR,9/27/2018,12/20/2023 0:00,9608234,SWAPS,-2406250,117.2443154,(null),S,0.85638,DAIMLER AG CDS 12/20/2023,74909230,0
1628801457,7AJF        ,-1818721.59,CRDEFSWP,EUR,9/28/2018,12/20/2023 0:00,9608513,SWAPS,-1604167,117.8120204,(null),S,0.86096,BMW FINANCE NV CDS 12/20/2023,74909303,0
1631032416,7AJF        ,-2107208.37,CRDEFSWP,EUR,10/1/2018,12/20/2023 0:00,9608739,SWAPS,-1858621,115.4955486,(null),S,0.86322,VOLKSWAGEN INTL FIN NV CDS 12/20/2023,75001017,0
1698381983,7AJF        ,-2711321,CRDEFSWP,USD,11/21/2018,12/20/2023 0:00,9615472,SWAPS,-2711321,92.17717363,(null),S,1,BAHRAIN CDS 12/20/2023,75759928,0
1039736150,7AJF        ,-1417185.36,CRDEFSWP,EUR,10/25/2017,12/20/2022 0:00,9545591,SWAPS,-1250000,140.6285606,(null),S,0.8467,GLENCORE FINANCE EUROPE CDS 12/20/2022,69974036,0
1880563541,7AJF        ,-1875000,CRDEFSWP,USD,5/13/2019,6/20/2024 0:00,(null),SWAPS,-1875000,113.0974219,(null),S,1,FORD MOTOR COMPANY CDS 06/20/24,77025388,0
1626332491,9810,-193457.14,CRDEFSWP,EUR,9/27/2018,12/20/2023 0:00,9608096,SWAPS,-170635,118.5944067,(null),S,0.85638,BMW FINANCE NV CDS 12/20/2023,74909204,0
1627725069,9810,-290185.14,CRDEFSWP,EUR,9/27/2018,12/20/2023 0:00,9608234,SWAPS,-255952,117.2443154,(null),S,0.85638,DAIMLER AG CDS 12/20/2023,74909236,0
1628801457,9810,-193457.14,CRDEFSWP,EUR,9/28/2018,12/20/2023 0:00,9608513,SWAPS,-170635,117.8120204,(null),S,0.86096,BMW FINANCE NV CDS 12/20/2023,74909309,0
1631032416,9810,-224143.17,CRDEFSWP,EUR,10/1/2018,12/20/2023 0:00,9608739,SWAPS,-197701,115.4955486,(null),S,0.86322,VOLKSWAGEN INTL FIN NV CDS 12/20/2023,75001022,0
1683373310,4632,410000,CRDEFSWP,USD,11/9/2018,12/20/2023 0:00,9613896,SWAPS,410000,99.79445,(null),L,1,PENERBANGAN MALAYSIA BHD - SNR DEBT CDS,75575509,0
1698381983,9577,-2235849,CRDEFSWP,USD,11/21/2018,12/20/2023 0:00,9615472,SWAPS,-2235849,92.17717363,(null),S,1,BAHRAIN CDS 12/20/2023,75759933,0
