Swap Id,Description,Broker Id,Trade ID,Trade Date,Effective Date,Settle Date,Maturity Date,Account Abbreviation,Notional,Rate,Payment Frequency Description,Initial Payment,Interest Payment Method Description,First Payment Date,Strike Price,Underlying Sec,Product Type,Sell Product Type,Dealer Trade ID,Currency Code,Executing Broker,Independent Amount (%),Independent Amount ($),ISIN,Protection,Issuer Name,Option Type,Settlement Amount,Fixing Index Name,Fixing Term,Business Day Convention,RED,Spread,CapFloor Rate,PutCall,OptionBuySellIndicator,# of Shares/Options,Settlement Currency,Initial Price,Attachment Point,Exhaustion Point,Tier,Restructuring Event,Payment EOM,Payoff,Equity Underlying Identifier,Equity Identifier Type,Exchange Code,Front End Protection,Option Trade Date,Option Days to Settle,Option Notional,Option Exercise Start Date,Option Exercise End Date,Option Exercise Frequency,MTM USD,MTM LCL,ACCRUED USD,ACCRUED LCL,Pay/Receive,FX Rate,Rate 2,Type 1,Type 2,Notional 2,Currency Code 2,Fixing Index Name 2,Fixing Term 2,Fixing Date,Fixing Date 2,Interest Payment Method Description 2,Payer 1,Payer 2,Notional XG,Notional XG 2,Arrears,Arrears 2,Payment Frequency Description 2,First Payment Date 2,Business Day Convention 2,Spread 2,Underlying Type,Tax Rate,Dividend Reinvestment,Payment Delay,Payment DOM,Payment Delay 2,Payment DOM 2,Resetting Notional,2nd Leg Currency,PV01,Strategy,Notes 1,Notes 2,2nd Leg Notional,Option Expiration Date,Discount Factor,Cost Amount,Cost Amount CCY,Index Version,MTM Base,CCY Base,Notes 3,Notes 4,Risk Annuity,Broker,Counterparty Trade Ref ID,ID1,ID2,ID3,ConversationID,AssetUnderlyingTicker,AssetUnderlyingLongName,PricingDaysGap,SwapLastResetDate,SwapNextResetDate,LastEqtyResetDate,LastEqtyResetPrice,IntFixingRate,AllinRate,CurrentPeriodUnrealizedAccrualStartDate,EqtyMarketPrice,UnrealizedReturnAmount,PriorDaySwapAccrualAmt,SwapSpotSettlementDate,ProjectedSwapAccrual,SwapDiscountFactor,SwapNextSettleDate,PendingRealizedEqtyAmt,PendingRealizedFinanceAmt,PendingRealizedSettlementAmounts,PendingRealizedSettlementDate,TriOptimaReportDate,DivRatio,SwapFinalvaluationDate,InitialEqtyPrice,CR01,INF01,Delta,Gamma,Vega,Alpha,Theta,Rho,CAPendingRealizedAmt,CAPendingRealizedCcy,TradeType,Cpty_Trade_Ref_Id,GTM_Ref_Id,APX_Ref_Id,Acct_System_Id,USI_Id,UPI_Id,SEF_ID,ID4,ID5,ID6,ID7,ID8,ID9,ID10,CCP_Fee,FCM_Fee,ACCRUED_INCOME_PTD_LOCAL_FIX,ACCRUED_INCOME_PTD_LOCAL_FLO,DAYS_INT_EARNED_FIX,DAYS_INT_EARNED_FLO,DefaultAccrualSettlement,DefaultPaytime,Calendar,OptionSettlementMethod,AccrualDelta
409637,100bpUSD3M/USDHNZ,CHASGB2LDPC,77015425,5/13/2019,6/4/2019,6/7/2019,6/20/2024,3472,500000,1,Quarterly,7811.88,ACT/360,6/20/2019,,,CDS,CDS,,USD,,0,0,US423074AF08,Sell,HNZ,,-8055.13,,,Following,4G537BAB4,,,,,,USD,,,,,NA,,,,,,,,,,,,,,1250,,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880563550,1880563551,1.90082E+13,,,,,,,,,,,,,,,,,,,,,,6/17/2019,,,,,,,,,,,,,,OTC,,4020cf08870511e9b39b0a4428260000,,,,,,2874797,OTC,,,,,,,,1250,90,,,ACC,DEF,NYB,PHYS,
409750,500bpUSD3M/USDF,CHASGB2LDPC,77025385,5/13/2019,5/29/2019,6/3/2019,6/20/2024,3472,1875000,5,Quarterly,346532.77,ACT/360,6/20/2019,,,CDS,CDS,,USD,,0,0,US345370CR99,Buy,F,,-80756.12,,,Following,3H98A7AC1,,,,,,USD,,,,,NA,,,,,,,,,,,,,,-23437.5,,-23437.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880563541,1880563540,1.89695E+13,,,,,,,,,,,,,,,,,,,,,,6/17/2019,,,,,,,,,,,,,,OTC,,b9c4c76a821e11e9b39b0a4428260000,,,,,,BYPL1T1,OTC,,,,,,,,-23437.5,90,,,ACC,DEF,NYB,PHYS,
411257,500bpUSD3M/USDBZH,MSCSUS33XXX,76945265,4/15/2019,3/20/2019,4/18/2019,6/20/2024,3472,1000000,5,Quarterly,-99663.27,ACT/360,6/20/2019,,,CDS,CDS,,USD,,0,0,US07556QBM69,Sell,BZH,,,,,Following,07CABWAF4,,,,,,,,,,,NA,,,,,,,,,,,,,,12500,,12500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,generatedbyCSM,1859740601,1859740604,1.85974E+13,,,,,,,,,,,,,,,,,,,,,,6/17/2019,,,,,,,,,,,,,,OTC,,SWAPCDS185974059976945265,,,,,,BYVX8Y5,OTC,,,,,,,,12500,90,,,ACC,DEF,NYB,PHYS,
412225,500bpUSD3M/USDBZH,MSCSUS33XXX,77154560,6/3/2019,3/20/2019,6/6/2019,6/20/2024,3472,2000000,5,Quarterly,21641.36,ACT/360,6/20/2019,,,CDS,CDS,,USD,,0,0,US07556QBM69,Sell,BZH,,,,,Following,07CABWAF4,,,,,,,,,,,XR14,,,,,,,,,,,,,,25000,,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,generatedbyCSM,1899241175,1899241176,1.90036E+13,,,,,,,,,,,,,,,,,,,,,,6/17/2019,,,,,,,,,,,,,,OTC,,b59b167a86e311e9b39b0a4428260000,,,,,,BYVX8Y5,OTC,,,,,,,,25000,90,,,ACC,DEF,NYB,PHYS,
410972,100bpUSD3M/USDIINDON,BARCUS33XXX,74809678,9/19/2018,6/20/2018,9/20/2018,12/20/2023,4632,290000,1,Quarterly,6290.32,ACT/360,9/20/2018,,,CDS,CDS,,USD,,0,0,USY20721AQ27,Sell,IINDON,,,,,Following,49ACF8AF3,,,,,,,,,,,R,,,,,,,,,,,,,,725,,725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,generatedbyCSM,1615924332,1615924331,1.61592E+13,,,,,,,,,,,,,,,,,,,,,,6/17/2019,,,,,,,,,,,,,,OTC,,SWAPCDS161592433074809678,,,,,,B60WLT3,OTC3,,,,,,,,725,90,,,ACC,DEF,NYB,PHYS,
411020,100bpUSD3M/USDIINDON,BARCUS33XXX,75007401,9/27/2018,9/20/2018,9/28/2018,12/20/2023,4632,220000,1,Quarterly,2955.6,ACT/360,12/20/2018,,,CDS,CDS,,USD,,0,0,USY20721AQ27,Sell,IINDON,,,,,Following,49ACF8AF3,,,,,,,,,,,R,,,,,,,,,,,,,,550,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,generatedbyCSM,1626089520,1626089519,1.63801E+13,,,,,,,,,,,,,,,,,,,,,,6/17/2019,,,,,,,,,,,,,,OTC,,SWAPCDS162608951875007401,,,,,,B60WLT3,OTC3,,,,,,,,550,90,,,ACC,DEF,NYB,PHYS,
411058,100bpUSD3M/USDCOLOM,CITIUS33XXX,74901059,9/28/2018,9/20/2018,10/1/2018,12/20/2023,4632,575000,1,Quarterly,2579.95,ACT/360,12/20/2018,,,CDS,CDS,,USD,,0,0,US195325BB02,Sell,COLOM,,,,,Following,1AE857AC8,,,,,,,,,,,R,,,,,,,,,,,,,,1437.5,,1437.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,generatedbyCSM,1628026448,1628026447,1.62803E+13,,,,,,,,,,,,,,,,,,,,,,6/17/2019,,,,,,,,,,,,,,OTC,,SWAPCDS162802644674901059,,,,,,2313461,OTC,,,,,,,,1437.5,90,,,ACC,DEF,NYB,PHYS,
411061,100bpUSD3M/USDIINDON,CITIUS33XXX,74973621,9/28/2018,9/20/2018,10/1/2018,12/20/2023,4632,480000,1,Quarterly,6541.73,ACT/360,12/20/2018,,,CDS,CDS,,USD,,0,0,USY20721AQ27,Sell,IINDON,,,,,Following,49ACF8AF3,,,,,,,,,,,R,,,,,,,,,,,,,,1200,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,generatedbyCSM,1628182360,1628182361,1.62818E+13,,,,,,,,,,,,,,,,,,,,,,6/17/2019,,,,,,,,,,,,,,OTC,,SWAPCDS162818235974973621,,,,,,B60WLT3,OTC3,,,,,,,,1200,90,,,ACC,DEF,NYB,PHYS,
411158,100bpUSD3M/USDSOAF,CHASGB2LDPC,74817559,9/18/2018,6/20/2018,9/19/2018,12/20/2023,4632,588000,1,Quarterly,33079.82,ACT/360,9/20/2018,,,CDS,CDS,,USD,,0,0,US836205AN45,Sell,SOAF,,,,,Following,8B9825AD0,,,,,,,,,,,R,,,,,,,,,,,,,,1470,,1470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,generatedbyCSM,1614306047,1614306048,1.61431E+13,,,,,,,,,,,,,,,,,,,,,,6/17/2019,,,,,,,,,,,,,,OTC,,SWAPCDS161430604674817559,,,,,,B618YX5,OTC3,,,,,,,,1470,90,,,ACC,DEF,NYB,PHYS,
411160,100bpUSD3M/USDCOLOM,CITIUS33XXX,74807548,9/18/2018,6/20/2018,9/19/2018,12/20/2023,4632,570000,1,Quarterly,2628.99,ACT/360,9/20/2018,,,CDS,CDS,,USD,,0,0,US195325BB02,Sell,COLOM,,,,,Following,1AE857AC8,,,,,,,,,,,R,,,,,,,,,,,,,,1425,,1425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,generatedbyCSM,1615375965,1615375964,1.61538E+13,,,,,,,,,,,,,,,,,,,,,,6/17/2019,,,,,,,,,,,,,,OTC,,SWAPCDS161537596374807548,,,,,,2313461,OTC,,,,,,,,1425,90,,,ACC,DEF,NYB,PHYS,
