Trade ID,Trade Type,SubType,Status,Customer,Trade Date,Broker,Ccy,Amended Date,Start Date,Maturity Date,Description,Ccy Pair,Notional,Trade Entry Date,Buy / Sell,Put / Call,Strike,Equity Id,Portfolio,CE Type,Credit Entity,Purchase / Sale,Red Pair,Traded Spread,ClientRefID,Trade State,Fwd Price,Return Leg Price,Funding Leg Index,Funding Leg Rate,Funding Leg Spread,Leg2 Notional,Leg2 Ccy,FX Rate,Leg1 Index,Leg1 Rate,Leg1 Spread,Leg2 Index,Leg2 Rate,Leg2 Spread,Counterparty Trade Ref.ID,GTM Reference ID,Executing Broker,ID1,ID2,OMS ID,SEF ID,USI Issuer_USI Trade ID,Legal Entity,Accounting System ID,Version,IM Type,IM Amount,Equity Market Price,Stub Rate,Unit,Final Payment Date
410028,Swap,IRSWAP,Verified,GSILGB2XXXX,5/15/2019,,SGD,5/24/2019 12:46,5/17/2019,5/17/2026,SW/PAY 2.01750%SGDFIXEDSemi,,-5000000,5/15/2019,SELL,,0,,70GB,,,S,,,77031397,Contract Create/New,0,,,0,0,5000000,SGD,0,FIXED,201.75,0,SIBOR,206.095,0,,ac2f46d877f711e9824d0a4428260000,,generatedbyCSM,1882393720,,,,TROWUS33XXX,,5,,,,0,0,
410029,Swap,IRSWAP,Verified,GSILGB2XXXX,5/15/2019,,SGD,5/24/2019 12:46,5/17/2019,5/17/2026,SW/PAY 2.01750%SGDFIXEDSemi,,-5000000,5/15/2019,SELL,,0,,9810,,,S,,,77031398,Contract Create/New,0,,,0,0,5000000,SGD,0,FIXED,201.75,0,SIBOR,206.095,0,,ac73175a77f711e9824d0a4428260000,,generatedbyCSM,1882393720,,,,TROWUS33XXX,,5,,,,0,0,
410031,Swap,IRSWAP,Verified,BOFAUS3DEQN,5/23/2019,,SGD,5/24/2019 12:45,5/17/2019,5/17/2022,SW/PAY 6MSIBOR+Semi,,1000000,5/15/2019,BUY,,0,,70GB,,,P,,,77031400,Part Assigned,0,,,0,0,1000000,SGD,0,FIXED,191.25,0,SIBOR,206.095,0,,5822ca087d6d11e9824d0a4428260000,,,1882393740,,,,TROWUS33XXX,,6,,,,0,0,
410032,Swap,IRSWAP,Verified,BOFAUS3DEQN,5/23/2019,,SGD,5/24/2019 12:44,5/17/2019,5/17/2022,SW/PAY 6MSIBOR+Semi,,1000000,5/15/2019,BUY,,0,,9752,,,P,,,77031399,Part Assigned,0,,,0,0,1000000,SGD,0,FIXED,191.25,0,SIBOR,206.095,0,,57758e2e7d6d11e9824d0a4428260000,,,1882393740,,,,TROWUS33XXX,,6,,,,0,0,
410033,Swap,IRSWAP,Verified,BOFAUS3DEQN,5/23/2019,,SGD,5/24/2019 12:45,5/17/2019,5/17/2022,SW/PAY 6MSIBOR+Semi,,1000000,5/15/2019,BUY,,0,,9810,,,P,,,77031401,Part Assigned,0,,,0,0,1000000,SGD,0,FIXED,191.25,0,SIBOR,206.095,0,,57ca0f3a7d6d11e9824d0a4428260000,,,1882393740,,,,TROWUS33XXX,,6,,,,0,0,
410034,Swap,IRSWAP,Verified,BOFAUS3DEQN,5/23/2019,,SGD,5/24/2019 12:45,5/17/2019,5/17/2022,SW/PAY 6MSIBOR+Semi,,1000000,5/15/2019,BUY,,0,,9878,,,P,,,77031402,Part Assigned,0,,,0,0,1000000,SGD,0,FIXED,191.25,0,SIBOR,206.095,0,,57da14c07d6d11e9824d0a4428260000,,,1882393740,,,,TROWUS33XXX,,6,,,,0,0,
410035,Swap,IRSWAP,Verified,MSCSUS33XXX,5/23/2019,,MXN,5/24/2019 12:45,5/16/2019,5/3/2029,SW/PAY 1MTIIE+Mont,,1000000,5/15/2019,BUY,,0,,9539,,,P,,,77031405,Part Assigned,0,,,0,0,1000000,MXN,0,FIXED,816,0,TIIE,850.61,0,,5939894a7d6d11e9824d0a4428260000,,,1882393840,,,,TROWUS33XXX,,5,,,,0,0,
410035,Swap,IRSWAP,Verified,MSCSUS33XXX,5/24/2019,,MXN,5/24/2019 14:23,5/16/2019,5/24/2019,SW/PAY 1MTIIE+Mont,,1000000,5/15/2019,BUY,,0,,9539,,,P,,,77031405,Our Assignment,0,,,0,0,1000000,MXN,0,FIXED,816,0,TIIE,850.61,0,,06ab64ca7e5111e9824d0a4428260000,,,1882393840,,,,TROWUS33XXX,,6,,,,0,0,
410036,Swap,IRSWAP,Verified,MSCSUS33XXX,5/23/2019,,MXN,5/24/2019 12:43,5/16/2019,5/3/2029,SW/PAY 1MTIIE+Mont,,1000000,5/15/2019,BUY,,0,,7AJF,,,P,,,77031406,Part Assigned,0,,,0,0,1000000,MXN,0,FIXED,816,0,TIIE,850.61,0,,58f3ba287d6d11e9824d0a4428260000,,,1882393840,,,,TROWUS33XXX,,5,,,,0,0,
410036,Swap,IRSWAP,Verified,MSCSUS33XXX,5/24/2019,,MXN,5/24/2019 14:23,5/16/2019,5/24/2019,SW/PAY 1MTIIE+Mont,,1000000,5/15/2019,BUY,,0,,7AJF,,,P,,,77031406,Our Assignment,0,,,0,0,1000000,MXN,0,FIXED,816,0,TIIE,850.61,0,,065c0f607e5111e9824d0a4428260000,,,1882393840,,,,TROWUS33XXX,,6,,,,0,0,
