ID_TEST1,REF_ID,ORDER_ID,CREATE_DATE,TRADE_DATE,TRADE_ID,status,TRANS_SUB_TYPE,TRANS_TYPE,EXEC_BROKER,TARGET_NOTNL_AMT_N,TARGET_NOTNL_AMT,ORDER_TARGET_QTY,ALLOCATION_TARGET_QTY,PRIN_LOCAL_CRRNCY,acct_cd,SWAP_PARTY_IND,DEAL_SPREAD,FX_RATE,MKT_PRICE,LAST_RESET_PRICE,SEC_TYP_CD,SEC_NAME,SEC_TYP_CD,UnderlyingSecurityName,FIXED_RATE,FLOAT_RATE,INDEX_NAME,FIRST_PAYMENT_DATE,OTC_CLEAR_ELIG_IND,LOC_CRRNCY_CD,mature_date,PUT/CALL,ISSUE_DATE,LIST_EXCH_CD,LIST_EXCH_CD,STRIKE_PRICE,OPTN_EXPIRE_TYPE,EXPIRE_DATE,SENT_ACCT_DATE,sec_id,ID_TEST2
BNYMDAY1EURCRPCDS,BNYMDAY1EURCRPCDS10051319081349,1880563514,5/13/2019 8:14,5/13/2019 0:00,77015402,CNCLACCT,OPEN,BUYL,JPM,10000000,2500000,10000000,2500000,EUR,7AJF,P,74,(null),101.3080871,(null),SWAPCDS,BMW FINANCE NV CDS 06/20/2024,CB,BMW FINANCE NV,1,0.00001,(null),6/20/2019 0:00,N,EUR,6/20/2024 0:00,(null),3/20/2019 0:00,OTC2,OTC2,(null),(null),(null),5/14/2019 8:23,1880563510,BNYMDAY1EURCRPCDS1880563514
BNYMDAY1EURCRPCDS,BNYMDAY1EURCRPCDS10051319081349,1880563514,5/13/2019 8:14,5/13/2019 0:00,77015401,CNCLACCT,OPEN,BUYL,JPM,10000000,2500000,10000000,2500000,EUR,9539,P,74,(null),101.3080871,(null),SWAPCDS,BMW FINANCE NV CDS 06/20/2024,CB,BMW FINANCE NV,1,0.00001,(null),6/20/2019 0:00,N,EUR,6/20/2024 0:00,(null),3/20/2019 0:00,OTC2,OTC2,(null),(null),(null),5/14/2019 8:23,1880563510,BNYMDAY1EURCRPCDS1880563514
BNYMDAY1EURCRPCDS,BNYMDAY1EURCRPCDS10051319081349,1880563514,5/13/2019 8:14,5/13/2019 0:00,77015400,CNCLACCT,OPEN,BUYL,JPM,10000000,2500000,10000000,2500000,EUR,9577,P,74,(null),101.3080871,(null),SWAPCDS,BMW FINANCE NV CDS 06/20/2024,CB,BMW FINANCE NV,1,0.00001,(null),6/20/2019 0:00,N,EUR,6/20/2024 0:00,(null),3/20/2019 0:00,OTC2,OTC2,(null),(null),(null),5/14/2019 8:23,1880563510,BNYMDAY1EURCRPCDS1880563514
BNYMDAY1EURCRPCDS,BNYMDAY1EURCRPCDS10051319081349,1880563514,5/13/2019 8:14,5/13/2019 0:00,77015403,CNCLACCT,OPEN,BUYL,JPM,10000000,2500000,10000000,2500000,EUR,9752,P,74,(null),101.3080871,(null),SWAPCDS,BMW FINANCE NV CDS 06/20/2024,CB,BMW FINANCE NV,1,0.00001,(null),6/20/2019 0:00,N,EUR,6/20/2024 0:00,(null),3/20/2019 0:00,OTC2,OTC2,(null),(null),(null),5/14/2019 8:23,1880563510,BNYMDAY1EURCRPCDS1880563514
BNYMDAY2EURCRPCDS,BNYMDAY2EURCRPCDS30051319081349,1881805554,5/13/2019 8:14,5/13/2019 0:00,77025399,ACCT,OPEN,BUYL,JPM,10000000,2500000,10000000,2500000,EUR,7AJF,P,74,(null),101.3080871,(null),SWAPCDS,BMW FINANCE NV CDS 06/20/2024,CB,BMW FINANCE NV,1,0.00001,(null),6/20/2019 0:00,N,EUR,6/20/2024 0:00,(null),3/20/2019 0:00,OTC2,OTC2,(null),(null),(null),5/14/2019 8:28,1880563510,BNYMDAY2EURCRPCDS1881805554
BNYMDAY2EURCRPCDS,BNYMDAY2EURCRPCDS30051319081349,1881805554,5/13/2019 8:14,5/13/2019 0:00,77025398,ACCT,OPEN,BUYL,JPM,10000000,2500000,10000000,2500000,EUR,9539,P,74,(null),101.3080871,(null),SWAPCDS,BMW FINANCE NV CDS 06/20/2024,CB,BMW FINANCE NV,1,0.00001,(null),6/20/2019 0:00,N,EUR,6/20/2024 0:00,(null),3/20/2019 0:00,OTC2,OTC2,(null),(null),(null),5/14/2019 8:28,1880563510,BNYMDAY2EURCRPCDS1881805554
BNYMDAY2EURCRPCDS,BNYMDAY2EURCRPCDS30051319081349,1881805554,5/13/2019 8:14,5/13/2019 0:00,77025397,ACCT,OPEN,BUYL,JPM,10000000,2500000,10000000,2500000,EUR,9577,P,74,(null),101.3080871,(null),SWAPCDS,BMW FINANCE NV CDS 06/20/2024,CB,BMW FINANCE NV,1,0.00001,(null),6/20/2019 0:00,N,EUR,6/20/2024 0:00,(null),3/20/2019 0:00,OTC2,OTC2,(null),(null),(null),5/14/2019 8:28,1880563510,BNYMDAY2EURCRPCDS1881805554
BNYMDAY2EURCRPCDS,BNYMDAY2EURCRPCDS30051319081349,1881805554,5/13/2019 8:14,5/13/2019 0:00,77025400,ACCT,OPEN,BUYL,JPM,10000000,2500000,10000000,2500000,EUR,9752,P,74,(null),101.3080871,(null),SWAPCDS,BMW FINANCE NV CDS 06/20/2024,CB,BMW FINANCE NV,1,0.00001,(null),6/20/2019 0:00,N,EUR,6/20/2024 0:00,(null),3/20/2019 0:00,OTC2,OTC2,(null),(null),(null),5/14/2019 8:28,1880563510,BNYMDAY2EURCRPCDS1881805554
BNYMDAY1EURCRPCDS,BNYMDAY1EURCRPCDS9051319081348,1880563552,5/13/2019 8:14,5/13/2019 0:00,77015405,ACCT,OPEN,BUYL,MLCO,10000000,2500000,10000000,2500000,EUR,70GB,R,108,(null),99.60329664,(null),SWAPCDS,VOLKSWAGEN INTL FIN NV CDS 06/20/2024,CB,VOLKSWAGEN INTL FIN NV,1,0.00001,(null),6/20/2019 0:00,N,EUR,6/20/2024 0:00,(null),3/20/2019 0:00,OTC2,OTC2,(null),(null),(null),5/13/2019 13:18,1880563530,BNYMDAY1EURCRPCDS1880563552
BNYMDAY1EURCRPCDS,BNYMDAY1EURCRPCDS9051319081348,1880563552,5/13/2019 8:14,5/13/2019 0:00,77015404,ACCT,OPEN,BUYL,MLCO,10000000,2500000,10000000,2500000,EUR,9752,R,108,(null),99.60329664,(null),SWAPCDS,VOLKSWAGEN INTL FIN NV CDS 06/20/2024,CB,VOLKSWAGEN INTL FIN NV,1,0.00001,(null),6/20/2019 0:00,N,EUR,6/20/2024 0:00,(null),3/20/2019 0:00,OTC2,OTC2,(null),(null),(null),5/13/2019 13:18,1880563530,BNYMDAY1EURCRPCDS1880563552
BNYMDAY1EURCRPCDS,BNYMDAY1EURCRPCDS9051319081348,1880563552,5/13/2019 8:14,5/13/2019 0:00,77015406,ACCT,OPEN,BUYL,MLCO,10000000,2500000,10000000,2500000,EUR,9810,R,108,(null),99.60329664,(null),SWAPCDS,VOLKSWAGEN INTL FIN NV CDS 06/20/2024,CB,VOLKSWAGEN INTL FIN NV,1,0.00001,(null),6/20/2019 0:00,N,EUR,6/20/2024 0:00,(null),3/20/2019 0:00,OTC2,OTC2,(null),(null),(null),5/13/2019 13:18,1880563530,BNYMDAY1EURCRPCDS1880563552
BNYMDAY1EURCRPCDS,BNYMDAY1EURCRPCDS9051319081348,1880563552,5/13/2019 8:14,5/13/2019 0:00,77015407,ACCT,OPEN,BUYL,MLCO,10000000,2500000,10000000,2500000,EUR,9878,R,108,(null),99.60329664,(null),SWAPCDS,VOLKSWAGEN INTL FIN NV CDS 06/20/2024,CB,VOLKSWAGEN INTL FIN NV,1,0.00001,(null),6/20/2019 0:00,N,EUR,6/20/2024 0:00,(null),3/20/2019 0:00,OTC2,OTC2,(null),(null),(null),5/13/2019 13:18,1880563530,BNYMDAY1EURCRPCDS1880563552
BNYMDAY1USDCRPCDS,BNYMDAY1USDCRPCDS2051319081345,1880563555,5/13/2019 8:14,5/13/2019 0:00,77015409,ACCT,OPEN,BUYL,CITI,10000000,2500000,10000000,2500000,USD,70GB,P,91,(null),100.4220495,(null),SWAPCDS,CVS HEALTH CORP CDS 06/20/2024,CB,CVS HEALTH CORP,1,0.00001,(null),6/20/2019 0:00,N,USD,6/20/2024 0:00,(null),3/20/2019 0:00,OTC,OTC,(null),(null),(null),5/13/2019 13:18,1880563533,BNYMDAY1USDCRPCDS1880563555
