Trade ID,Trade Type,SubType,Status,Customer,Trade Date,Broker,Ccy,Amended Date,Start Date,Maturity Date,Description,Ccy Pair,Notional,Trade Entry Date,Buy / Sell,Put / Call,Strike,Equity Id,Portfolio,CE Type,Credit Entity,Purchase / Sale,Red Pair,Traded Spread,ClientRefID,Trade State,Fwd Price,Return Leg Price,Funding Leg Index,Funding Leg Rate,Funding Leg Spread,Leg2 Notional,Leg2 Ccy,FX Rate,Leg1 Index,Leg1 Rate,Leg1 Spread,Leg2 Index,Leg2 Rate,Leg2 Spread,Counterparty Trade Ref.ID,GTM Reference ID,Executing Broker,ID1,ID2,OMS ID,SEF ID,USI Issuer_USI Trade ID,Legal Entity,Accounting System ID,Version,IM Type,IM Amount,Equity Market Price,Stub Rate,Unit,Final Payment Date
409605,Multi Underlying Structuring Tool,SN_CDS,Verified,GSILGB2XXXX,5/13/2019,,USD,5/13/2019 12:48,3/20/2019,12/20/2019,B SN_CDS / Single Name CDS,,2500000,5/13/2019,,,0,,7AJF,Singlename,TURKEY,P,9J0135,100,77015437,Contract Create/New,0,,,0,0,0,,0,,0,0,,0,0,,f9d647de759e11e9824d0a4428260000,,generatedbyCSM,1880563649,,,,TROWUS33XXX,,1,,,,0,0,
409606,Multi Underlying Structuring Tool,SN_CDS,Verified,GSILGB2XXXX,5/13/2019,,USD,5/13/2019 12:49,3/20/2019,12/20/2019,B SN_CDS / Single Name CDS,,2500000,5/13/2019,,,0,,70GB,Singlename,TURKEY,P,9J0135,100,77015439,Contract Create/New,0,,,0,0,0,,0,,0,0,,0,0,,fa25500e759e11e9824d0a4428260000,,generatedbyCSM,1880563649,,,,TROWUS33XXX,,1,,,,0,0,
409607,Multi Underlying Structuring Tool,SN_CDS,Verified,GSILGB2XXXX,5/13/2019,,USD,5/13/2019 12:49,3/20/2019,12/20/2019,B SN_CDS / Single Name CDS,,2500000,5/13/2019,,,0,,9752,Singlename,TURKEY,P,9J0135,100,77015438,Contract Create/New,0,,,0,0,0,,0,,0,0,,0,0,,fa68e2ec759e11e9824d0a4428260000,,generatedbyCSM,1880563649,,,,TROWUS33XXX,,1,,,,0,0,
409608,Multi Underlying Structuring Tool,SN_CDS,Verified,GSILGB2XXXX,5/13/2019,,USD,5/13/2019 12:49,3/20/2019,12/20/2019,B SN_CDS / Single Name CDS,,2500000,5/13/2019,,,0,,9810,Singlename,TURKEY,P,9J0135,100,77015440,Contract Create/New,0,,,0,0,0,,0,,0,0,,0,0,,fabdc5b4759e11e9824d0a4428260000,,generatedbyCSM,1880563649,,,,TROWUS33XXX,,1,,,,0,0,
409609,Multi Underlying Structuring Tool,SN_CDS,Verified,BOFAUS3DEQN,5/13/2019,,EUR,5/13/2019 13:18,3/20/2019,6/20/2024,S SN_CDS / Single Name CDS,,2500000,5/13/2019,,,0,,70GB,Singlename,VW,S,9BAEC8,100,77015405,Contract Create/New,0,,,0,0,0,,0,,0,0,,0,0,,284cca1275a311e9824d0a4428260000,,generatedbyCSM,1880563531,,,,TROWUS33XXX,,1,,,,0,0,
409610,Multi Underlying Structuring Tool,SN_CDS,Verified,BOFAUS3DEQN,5/13/2019,,EUR,5/13/2019 13:18,3/20/2019,6/20/2024,S SN_CDS / Single Name CDS,,2500000,5/13/2019,,,0,,9752,Singlename,VW,S,9BAEC8,100,77015404,Contract Create/New,0,,,0,0,0,,0,,0,0,,0,0,,288ff31e75a311e9824d0a4428260000,,generatedbyCSM,1880563531,,,,TROWUS33XXX,,1,,,,0,0,
409611,Multi Underlying Structuring Tool,SN_CDS,Verified,BOFAUS3DEQN,5/13/2019,,EUR,5/13/2019 13:18,3/20/2019,6/20/2024,S SN_CDS / Single Name CDS,,2500000,5/13/2019,,,0,,9810,Singlename,VW,S,9BAEC8,100,77015406,Contract Create/New,0,,,0,0,0,,0,,0,0,,0,0,,28cc72e475a311e9824d0a4428260000,,generatedbyCSM,1880563531,,,,TROWUS33XXX,,1,,,,0,0,
409612,Multi Underlying Structuring Tool,SN_CDS,Verified,BOFAUS3DEQN,5/13/2019,,EUR,5/13/2019 13:18,3/20/2019,6/20/2024,S SN_CDS / Single Name CDS,,2500000,5/13/2019,,,0,,9878,Singlename,VW,S,9BAEC8,100,77015407,Contract Create/New,0,,,0,0,0,,0,,0,0,,0,0,,28db2a5075a311e9824d0a4428260000,,generatedbyCSM,1880563531,,,,TROWUS33XXX,,1,,,,0,0,
409613,Multi Underlying Structuring Tool,SN_CDS,Verified,CITIUS33XXX,5/13/2019,,USD,5/13/2019 13:18,3/20/2019,6/20/2024,B SN_CDS / Single Name CDS,,2500000,5/13/2019,,,0,,9752,Singlename,CVSHEA,P,138CBK,100,77015408,Contract Create/New,0,,,0,0,0,,0,,0,0,,0,0,,291ccba475a311e9824d0a4428260000,,generatedbyCSM,1880563535,,,,TROWUS33XXX,,1,,,,0,0,
409614,Multi Underlying Structuring Tool,SN_CDS,Verified,CITIUS33XXX,5/13/2019,,USD,5/13/2019 13:18,3/20/2019,6/20/2024,B SN_CDS / Single Name CDS,,2500000,5/13/2019,,,0,,70GB,Singlename,CVSHEA,P,138CBK,100,77015409,Contract Create/New,0,,,0,0,0,,0,,0,0,,0,0,,2962a4ee75a311e9824d0a4428260000,,generatedbyCSM,1880563535,,,,TROWUS33XXX,,1,,,,0,0,
409615,Multi Underlying Structuring Tool,SN_CDS,Verified,CITIUS33XXX,5/13/2019,,USD,5/13/2019 13:19,3/20/2019,6/20/2024,B SN_CDS / Single Name CDS,,2500000,5/13/2019,,,0,,9810,Singlename,CVSHEA,P,138CBK,100,77015410,Contract Create/New,0,,,0,0,0,,0,,0,0,,0,0,,299d618875a311e9824d0a4428260000,,generatedbyCSM,1880563535,,,,TROWUS33XXX,,1,,,,0,0,
409616,Multi Underlying Structuring Tool,SN_CDS,Verified,CITIUS33XXX,5/13/2019,,USD,5/13/2019 13:19,3/20/2019,6/20/2024,B SN_CDS / Single Name CDS,,2500000,5/13/2019,,,0,,9878,Singlename,CVSHEA,P,138CBK,100,77015411,Contract Create/New,0,,,0,0,0,,0,,0,0,,0,0,,29ac175075a311e9824d0a4428260000,,generatedbyCSM,1880563535,,,,TROWUS33XXX,,1,,,,0,0,
409617,Multi Underlying Structuring Tool,SN_CDS,Verified,CHASGB2LDPC,5/13/2019,,EUR,5/13/2019 13:27,3/20/2019,6/20/2024,B SN_CDS / Single Name CDS,,2500000,5/13/2019,,,0,,9577,Singlename,BMW,P,0H99B7,100,77015400,Contract Create/New,0,,,0,0,0,,0,,0,0,,0,0,,f947e7dc759e11e9824d0a4428260000,,generatedbyCSM,1880563512,,,,TROWUS33XXX,,1,,,,0,0,
409618,Multi Underlying Structuring Tool,SN_CDS,Verified,CHASGB2LDPC,5/13/2019,,EUR,5/13/2019 13:27,3/20/2019,6/20/2024,B SN_CDS / Single Name CDS,,2500000,5/13/2019,,,0,,9752,Singlename,BMW,P,0H99B7,100,77015403,Contract Create/New,0,,,0,0,0,,0,,0,0,,0,0,,f995675a759e11e9824d0a4428260000,,generatedbyCSM,1880563512,,,,TROWUS33XXX,,1,,,,0,0,
409619,Multi Underlying Structuring Tool,SN_CDS,Verified,CHASGB2LDPC,5/13/2019,,EUR,5/13/2019 13:27,3/20/2019,6/20/2024,B SN_CDS / Single Name CDS,,2500000,5/13/2019,,,0,,9539,Singlename,BMW,P,0H99B7,100,77015401,Contract Create/New,0,,,0,0,0,,0,,0,0,,0,0,,f901f358759e11e9824d0a4428260000,,generatedbyCSM,1880563512,,,,TROWUS33XXX,,1,,,,0,0,
409620,Multi Underlying Structuring Tool,SN_CDS,Verified,CHASGB2LDPC,5/13/2019,,EUR,5/13/2019 13:27,3/20/2019,6/20/2024,B SN_CDS / Single Name CDS,,2500000,5/13/2019,,,0,,7AJF,Singlename,BMW,P,0H99B7,100,77015402,Contract Create/New,0,,,0,0,0,,0,,0,0,,0,0,,f8a56ca0759e11e9824d0a4428260000,,generatedbyCSM,1880563512,,,,TROWUS33XXX,,1,,,,0,0,
409621,Multi Underlying Structuring Tool,SN_CDS,Verified,GSILGB2XXXX,5/13/2019,,USD,5/13/2019 13:38,3/20/2019,6/20/2024,S SN_CDS / Single Name CDS,,2500000,5/13/2019,,,0,,7AJF,Singlename,DVN,S,2H68GV,100,77015417,Contract Create/New,0,,,0,0,0,,0,,0,0,,0,0,,f084bae275a511e9824d0a4428260000,,generatedbyCSM,1880563537,,,,TROWUS33XXX,,1,,,,0,0,
409622,Multi Underlying Structuring Tool,SN_CDS,Verified,GSILGB2XXXX,5/13/2019,,USD,5/13/2019 13:38,3/20/2019,6/20/2024,S SN_CDS / Single Name CDS,,2500000,5/13/2019,,,0,,70GB,Singlename,DVN,S,2H68GV,100,77015419,Contract Create/New,0,,,0,0,0,,0,,0,0,,0,0,,f0c451fc75a511e9824d0a4428260000,,generatedbyCSM,1880563537,,,,TROWUS33XXX,,1,,,,0,0,
409623,Multi Underlying Structuring Tool,SN_CDS,Verified,GSILGB2XXXX,5/13/2019,,USD,5/13/2019 13:38,3/20/2019,6/20/2024,S SN_CDS / Single Name CDS,,2500000,5/13/2019,,,0,,9539,Singlename,DVN,S,2H68GV,100,77015416,Contract Create/New,0,,,0,0,0,,0,,0,0,,0,0,,f10b159275a511e9824d0a4428260000,,generatedbyCSM,1880563537,,,,TROWUS33XXX,,1,,,,0,0,
409624,Multi Underlying Structuring Tool,SN_CDS,Verified,GSILGB2XXXX,5/13/2019,,USD,5/13/2019 13:38,3/20/2019,6/20/2024,S SN_CDS / Single Name CDS,,2500000,5/13/2019,,,0,,9752,Singlename,DVN,S,2H68GV,100,77015418,Contract Create/New,0,,,0,0,0,,0,,0,0,,0,0,,f155d88e75a511e9824d0a4428260000,,generatedbyCSM,1880563537,,,,TROWUS33XXX,,1,,,,0,0,
409625,Multi Underlying Structuring Tool,SN_CDS,Verified,MSCSUS33XXX,5/13/2019,,USD,5/13/2019 13:38,3/20/2019,6/20/2024,S SN_CDS / Single Name CDS,,2000000,5/13/2019,,,0,,9577,Singlename,BZH,S,07CABW,500,77015422,Contract Create/New,0,,,0,0,0,,0,,0,0,,0,0,,f19109c275a511e9824d0a4428260000,,generatedbyCSM,1880563546,,,,TROWUS33XXX,,1,,,,0,0,
