Trade Date,Maturity Date,Account Abbreviation,Notional,ID2,Product Type,Currency Code,Equity Underlying Identifier,ID3,Option Exercise Start Date,# of Shares/Options,Notional 2,InitialEqtyPrice,Executing Broker,Protection,Pay/Receive,LastEqtyResetPrice,2nd Leg Notional
5/20/2019,6/20/2020,3472,2500000,1887196755,EQS,USD,GB00B4K4X773,1887196756,,,8567.236011,291.8094,,,Pay,291.8094,2500000
5/20/2019,6/20/2019,3472,2500000,1887197274,EQS,USD,GB00B4K4X773,1887197275,,,8570.619505,291.6942,,,Pay,291.6942,2500000
5/20/2019,12/20/2020,3472,2500000,1887196692,EQS,USD,GB00B4Q2XT74,1887196691,,,14429.98111,173.2504,,,Receive,173.2504,2500000
5/21/2019,1/17/2020,3472,147650,1887179523,EQS,USD,B1VS333,1887179524,,,10000,14.765,,,Pay,14.765,147650
5/21/2019,1/17/2020,4568,213083.85,1887197884,EQS,USD,B01Z8P4,1887197885,,,5470,38.955,,,Pay,38.955,213083.85
5/21/2019,1/17/2020,4568,56375.64,1888975161,EQS,USD,BYV2W40,1888975162,,,10728,5.255,,,Pay,5.255,56375.64
5/21/2019,1/17/2020,4568,165895.52,1888974756,EQS,USD,B4PZ892,1888974757,,,3808,43.565,,,Receive,43.565,165895.52
5/21/2019,1/17/2020,4568,109896.39,1887198176,EQS,USD,B15M2C3,1887198177,,,774,141.985,,,Receive,141.985,109896.39
5/21/2019,1/17/2020,4568,130627.8,1887198060,EQS,USD,BYV3856,1887198061,,,3720,35.115,,,Receive,35.115,130627.8
5/21/2019,1/17/2020,4568,280738.63,1887198153,EQS,USD,B0BD762,1887198154,,,10705,26.225,,,Pay,26.225,280738.63
5/21/2019,1/17/2020,4568,11478.07,1888974768,EQS,USD,B2B0KJ1,1888974769,,,102209,0.1123,,,Receive,0.1123,11478.07
5/21/2019,1/17/2020,4568,350457.75,1888974535,EQS,USD,BYM7YF9,1888974536,,,53710,6.525,,,Receive,6.525,350457.75
5/21/2019,1/17/2020,4568,152285.49,1888974501,EQS,USD,BYZ0RD4,1888974502,,,30366,5.015,,,Pay,5.015,152285.49
5/21/2019,1/17/2020,4568,373422.17,1887197958,EQS,USD,BD72H64,1887197959,,,13498,27.665,,,Receive,27.665,373422.17
5/21/2019,1/17/2020,4568,351972.1,1887197950,EQS,USD,BYT55F3,1887197953,,,20084,17.525,,,Receive,17.525,351972.1
5/21/2019,1/17/2020,4568,221214.3,1887197904,EQS,USD,BQVC8B3,1887197905,,,18660,11.855,,,Pay,11.855,221214.3
5/21/2019,1/17/2020,4568,25050.18,1887198067,EQS,USD,BVB3BV2,1887198068,,,1303,19.225,,,Pay,19.225,25050.18
5/21/2019,1/17/2020,4568,198443.85,1887198090,EQS,USD,B0PZN33,1887198091,,,28410,6.985,,,Receive,6.985,198443.85
5/21/2019,1/17/2020,4568,147523.13,1888974481,EQS,USD,B0BV2M7,1888974482,,,9595,15.375,,,Pay,15.375,147523.13
5/21/2019,1/17/2020,4568,97819.56,1888974759,EQS,USD,BJBQ1S4,1888974760,,,3912,25.005,,,Receive,25.005,97819.56
5/21/2019,1/17/2020,4568,237185.64,1888975199,EQS,USD,BNFWZS4,1888975200,,,11112,21.345,,,Receive,21.345,237185.64
5/21/2019,1/17/2020,4568,121436.29,1888975332,EQS,USD,BCD7L64,1888975333,,,2474,49.085,,,Receive,49.085,121436.29
5/21/2019,1/17/2020,4568,200690.55,1888975259,EQS,USD,BYTP3G0,1888975260,,,30066,6.675,,,Pay,6.675,200690.55
5/21/2019,1/17/2020,4568,41348.9,1887197862,EQS,USD,B2RB4W9,1887197863,,,1516,27.275,,,Pay,27.275,41348.9
5/21/2019,1/17/2020,4568,48003.3,1887198074,EQS,USD,BBM5MD6,1887198075,,,460,104.355,,,Receive,104.355,48003.3
5/21/2019,1/17/2020,4568,109988.26,1888974493,EQS,USD,B48HGT1,1888974494,,,1244,88.415,,,Pay,88.415,109988.26
5/21/2019,1/17/2020,4568,5114.51,1888974815,EQS,USD,BG6N6K6,1888974816,,,139,36.795,,,Pay,36.795,5114.51
5/21/2019,1/17/2020,4568,30154.95,1888975266,EQS,USD,B0X7DZ3,1888975267,,,42,717.975,,,Pay,717.975,30154.95
5/21/2019,1/17/2020,4568,73682.06,1887197943,EQS,AUD,B6QCFP1,1887197944,,,11775,6.2575,,,Receive,6.2575,73682.06
